Frequency (Hz)	Level (dB)
1.345825	-112.517548
2.691650	-103.512741
4.037476	-99.259926
5.383301	-94.999382
6.729126	-92.002831
8.074951	-93.614876
9.420776	-91.968597
10.766602	-87.834938
12.112427	-86.701775
13.458252	-86.674873
14.804077	-86.384361
16.149902	-86.173042
17.495728	-84.389275
18.841553	-83.365120
20.187378	-82.891624
21.533203	-82.053383
22.879028	-81.625778
24.224854	-81.423767
25.570679	-80.522484
26.916504	-79.346695
28.262329	-78.815018
29.608154	-78.534172
30.953979	-79.169609
32.299805	-79.367004
33.645630	-79.238411
34.991455	-78.832085
36.337280	-78.411873
37.683105	-77.823814
39.028931	-76.971748
40.374756	-76.597290
41.720581	-76.296356
43.066406	-76.590286
44.412231	-76.262299
45.758057	-76.129082
47.103882	-76.077721
48.449707	-75.244247
49.795532	-75.352791
51.141357	-75.676491
52.487183	-74.910362
53.833008	-75.074173
55.178833	-74.702873
56.524658	-73.704475
57.870483	-74.405655
59.216309	-73.590233
60.562134	-73.136337
61.907959	-73.024193
63.253784	-72.726723
64.599609	-73.050438
65.945435	-73.657043
67.291260	-74.851746
68.637085	-74.310753
69.982910	-73.557564
71.328735	-73.316269
72.674561	-72.522346
74.020386	-72.061768
75.366211	-72.451698
76.712036	-72.487694
78.057861	-72.898155
79.403687	-72.588188
80.749512	-71.963165
82.095337	-70.216263
83.441162	-70.800903
84.786987	-71.989441
86.132812	-72.574165
87.478638	-72.775101
88.824463	-71.155502
90.170288	-71.283554
91.516113	-71.632217
92.861938	-71.206268
94.207764	-71.651817
95.553589	-72.302704
96.899414	-72.496040
98.245239	-72.184860
99.591064	-71.947823
100.936890	-71.913849
102.282715	-72.303772
103.628540	-72.026512
104.974365	-71.895309
106.320190	-71.880219
107.666016	-71.614479
109.011841	-71.693184
110.357666	-71.120476
111.703491	-71.046898
113.049316	-72.009621
114.395142	-72.224617
115.740967	-71.772171
117.086792	-71.250114
118.432617	-67.327576
119.778442	-68.805817
121.124268	-71.413635
122.470093	-71.329071
123.815918	-71.191078
125.161743	-71.632126
126.507568	-71.323181
127.853394	-71.633537
129.199219	-71.654808
130.545044	-71.271599
131.890869	-71.760246
133.236694	-70.402779
134.582520	-70.103058
135.928345	-70.388351
137.274170	-70.852798
138.619995	-71.258278
139.965820	-71.045113
141.311646	-70.832672
142.657471	-70.643356
144.003296	-71.213348
145.349121	-71.035698
146.694946	-71.535591
148.040771	-71.242897
149.386597	-70.433159
150.732422	-70.298119
152.078247	-69.862717
153.424072	-70.078964
154.769897	-69.798454
156.115723	-70.182312
157.461548	-70.470329
158.807373	-70.160179
160.153198	-69.260483
161.499023	-69.041771
162.844849	-69.486832
164.190674	-69.233292
165.536499	-68.790482
166.882324	-68.684746
168.228149	-69.011909
169.573975	-69.054832
170.919800	-68.370682
172.265625	-68.345215
173.611450	-68.161674
174.957275	-67.540642
176.303101	-68.326515
177.648926	-68.442085
178.994751	-68.191032
180.340576	-67.981247
181.686401	-67.295769
183.032227	-68.400436
184.378052	-68.437447
185.723877	-67.950546
187.069702	-67.416809
188.415527	-66.795418
189.761353	-67.107079
191.107178	-67.470886
192.453003	-66.911049
193.798828	-64.730988
195.144653	-64.982986
196.490479	-65.299385
197.836304	-65.473152
199.182129	-65.664322
200.527954	-64.371712
201.873779	-64.089752
203.219604	-64.770782
204.565430	-64.610886
205.911255	-64.422173
207.257080	-64.391266
208.602905	-63.855278
209.948730	-64.135155
211.294556	-63.486645
212.640381	-63.010231
213.986206	-62.819332
215.332031	-62.493378
216.677856	-62.037979
218.023682	-61.596199
219.369507	-61.120731
220.715332	-61.177307
222.061157	-61.309914
223.406982	-60.390694
224.752808	-59.566746
226.098633	-59.494129
227.444458	-59.294094
228.790283	-58.311069
230.136108	-58.395138
231.481934	-57.660061
232.827759	-57.275990
234.173584	-57.221828
235.519409	-56.045715
236.865234	-55.710148
238.211060	-55.583210
239.556885	-54.952370
240.902710	-53.994301
242.248535	-53.430065
243.594360	-54.129978
244.940186	-53.653427
246.286011	-53.935120
247.631836	-53.912876
248.977661	-53.847855
250.323486	-53.847546
251.669312	-54.004864
253.015137	-54.497402
254.360962	-54.287857
255.706787	-54.363857
257.052612	-55.062706
258.398438	-55.441101
259.744263	-54.730358
261.090088	-54.961300
262.435913	-55.564804
263.781738	-56.256771
265.127563	-57.258018
266.473389	-57.080090
267.819214	-57.815365
269.165039	-58.530376
270.510864	-58.502430
271.856689	-58.987411
273.202515	-59.459244
274.548340	-59.343788
275.894165	-59.906448
277.239990	-61.322956
278.585815	-61.262794
279.931641	-61.166428
281.277466	-61.465031
282.623291	-60.905560
283.969116	-61.673759
285.314941	-62.581154
286.660767	-61.947884
288.006592	-61.700050
289.352417	-62.713337
290.698242	-63.742935
292.044067	-62.189442
293.389893	-62.538689
294.735718	-63.530396
296.081543	-64.360870
297.427368	-63.592365
298.773193	-63.546104
300.119019	-63.805882
301.464844	-64.703667
302.810669	-64.344803
304.156494	-63.919903
305.502319	-64.801308
306.848145	-65.100113
308.193970	-64.730263
309.539795	-65.355415
310.885620	-65.577827
312.231445	-65.002426
313.577271	-65.472328
314.923096	-65.503204
316.268921	-65.126663
317.614746	-65.816650
318.960571	-65.414627
320.306396	-65.801697
321.652222	-66.809006
322.998047	-66.091461
324.343872	-65.830795
325.689697	-66.452957
327.035522	-65.782784
328.381348	-65.705635
329.727173	-66.674614
331.072998	-66.568535
332.418823	-65.778343
333.764648	-66.304214
335.110474	-67.331047
