Frequency (Hz)	Level (dB)
1.345825	-112.454987
2.691650	-102.685272
4.037476	-97.831062
5.383301	-95.480247
6.729126	-94.053085
8.074951	-95.357254
9.420776	-92.825066
10.766602	-89.197701
12.112427	-87.492302
13.458252	-88.317360
14.804077	-88.874855
16.149902	-87.513870
17.495728	-86.306541
18.841553	-85.509651
20.187378	-85.100060
21.533203	-84.517014
22.879028	-82.922165
24.224854	-83.028778
25.570679	-83.419167
26.916504	-82.242142
28.262329	-82.251709
29.608154	-82.537971
30.953979	-82.220901
32.299805	-82.066536
33.645630	-80.970718
34.991455	-81.539345
36.337280	-81.308746
37.683105	-80.892159
39.028931	-81.717331
40.374756	-81.050758
41.720581	-79.822678
43.066406	-79.490402
44.412231	-79.797043
45.758057	-79.038185
47.103882	-79.214821
48.449707	-78.688354
49.795532	-78.316200
51.141357	-79.071854
52.487183	-79.172279
53.833008	-78.866791
55.178833	-78.109261
56.524658	-77.074471
57.870483	-76.395851
59.216309	-76.629822
60.562134	-77.109322
61.907959	-76.107803
63.253784	-76.104469
64.599609	-77.213173
65.945435	-78.033966
67.291260	-78.534782
68.637085	-78.043800
69.982910	-78.166306
71.328735	-78.346642
72.674561	-77.120605
74.020386	-75.672142
75.366211	-75.543137
76.712036	-75.385788
78.057861	-75.003288
79.403687	-75.404449
80.749512	-72.116753
82.095337	-69.252693
83.441162	-71.485687
84.786987	-72.341202
86.132812	-72.459572
87.478638	-73.252045
88.824463	-72.564865
90.170288	-73.798126
91.516113	-71.364868
92.861938	-68.552887
94.207764	-70.328011
95.553589	-76.185425
96.899414	-77.458694
98.245239	-78.246162
99.591064	-77.254547
100.936890	-76.450218
102.282715	-76.510712
103.628540	-76.293938
104.974365	-76.744064
106.320190	-75.681160
107.666016	-75.378754
109.011841	-76.716599
110.357666	-76.877205
111.703491	-76.551849
113.049316	-76.354851
114.395142	-76.417877
115.740967	-75.679756
117.086792	-72.959587
118.432617	-65.062561
119.778442	-66.455032
121.124268	-72.785713
122.470093	-73.814735
123.815918	-75.278984
125.161743	-76.547226
126.507568	-76.336815
127.853394	-76.335770
129.199219	-75.965508
130.545044	-76.530930
131.890869	-75.975212
133.236694	-75.161278
134.582520	-75.714058
135.928345	-75.395767
137.274170	-75.338654
138.619995	-75.489227
139.965820	-75.230743
141.311646	-75.217575
142.657471	-75.549316
144.003296	-76.061035
145.349121	-75.652252
146.694946	-75.106148
148.040771	-75.258018
149.386597	-75.614944
150.732422	-74.439941
152.078247	-73.661194
153.424072	-74.993683
154.769897	-76.008942
156.115723	-75.291641
157.461548	-74.678764
158.807373	-74.883583
160.153198	-74.853043
161.499023	-74.588684
162.844849	-74.221649
164.190674	-74.043739
165.536499	-74.447296
166.882324	-74.493820
168.228149	-73.713844
169.573975	-73.543152
170.919800	-74.265144
172.265625	-73.725365
173.611450	-73.886673
174.957275	-73.940849
176.303101	-73.377213
177.648926	-72.723740
178.994751	-72.172646
180.340576	-72.384659
181.686401	-72.350914
183.032227	-72.025604
184.378052	-71.807594
185.723877	-72.328651
187.069702	-71.487823
188.415527	-71.396996
189.761353	-71.545982
191.107178	-71.701164
192.453003	-71.427368
193.798828	-70.890373
195.144653	-70.404121
196.490479	-70.415306
197.836304	-70.713882
199.182129	-69.874550
200.527954	-69.722183
201.873779	-69.465790
203.219604	-69.098656
204.565430	-68.435570
205.911255	-68.228951
207.257080	-68.921814
208.602905	-69.197502
209.948730	-68.239876
211.294556	-68.351509
212.640381	-68.061211
213.986206	-67.472694
215.332031	-66.956802
216.677856	-67.194405
218.023682	-66.980019
219.369507	-66.538017
220.715332	-65.600639
222.061157	-65.894936
223.406982	-64.306793
224.752808	-64.610947
226.098633	-64.469933
227.444458	-63.577961
228.790283	-62.830643
230.136108	-62.524967
231.481934	-62.051376
232.827759	-62.199326
234.173584	-62.091228
235.519409	-61.608395
236.865234	-61.040970
238.211060	-60.501076
239.556885	-60.597904
240.902710	-59.860905
242.248535	-59.675850
243.594360	-59.016586
244.940186	-58.388832
246.286011	-58.362755
247.631836	-58.065369
248.977661	-58.745403
250.323486	-59.553165
251.669312	-59.229877
253.015137	-58.886440
254.360962	-58.652073
255.706787	-59.381710
257.052612	-60.604279
258.398438	-61.196835
259.744263	-61.054043
261.090088	-61.069534
262.435913	-61.194260
263.781738	-62.170425
265.127563	-61.646286
266.473389	-62.349308
267.819214	-62.217796
269.165039	-62.318516
270.510864	-63.961514
271.856689	-64.606247
273.202515	-64.398499
274.548340	-64.607491
275.894165	-64.658936
277.239990	-65.112984
278.585815	-64.584808
279.931641	-65.010223
281.277466	-65.741776
282.623291	-66.341721
283.969116	-66.122620
285.314941	-66.631836
286.660767	-66.783531
288.006592	-67.381844
289.352417	-67.855011
290.698242	-67.966492
292.044067	-67.605217
293.389893	-66.920639
294.735718	-66.836746
296.081543	-68.146889
297.427368	-69.018684
298.773193	-68.260620
300.119019	-68.343552
301.464844	-69.832603
302.810669	-69.300758
304.156494	-69.164246
305.502319	-69.943184
306.848145	-70.107269
308.193970	-69.207947
309.539795	-69.891098
310.885620	-70.149551
312.231445	-70.292397
313.577271	-70.588974
314.923096	-71.477493
316.268921	-70.997704
317.614746	-71.220779
318.960571	-70.781967
320.306396	-70.476425
321.652222	-70.307999
322.998047	-70.506500
324.343872	-71.844940
325.689697	-71.925072
327.035522	-71.918350
328.381348	-72.945755
329.727173	-72.241333
331.072998	-71.191414
332.418823	-71.793198
333.764648	-71.710327
335.110474	-72.184052
336.456299	-71.664177
337.802124	-71.517822
339.147949	-71.939926
340.493774	-71.682854
341.839600	-71.804016
343.185425	-71.484222
344.531250	-72.067413
345.877075	-72.410019
347.222900	-72.304619
348.568726	-71.119904
349.914551	-71.703415
351.260376	-71.326271
352.606201	-70.786598
353.952026	-71.671112
355.297852	-71.970085
356.643677	-71.740517
357.989502	-72.364204
359.335327	-71.683685
360.681152	-71.981842
362.026978	-72.294586
363.372803	-72.619919
364.718628	-72.812508
366.064453	-72.043358
367.410278	-71.812508
368.756104	-71.322510
370.101929	-71.795868
371.447754	-72.846024
372.793579	-72.251167
374.139404	-71.678383
375.485229	-72.169441
376.831055	-72.871933
378.176880	-71.801208
379.522705	-71.579102
380.868530	-70.760330
382.214355	-71.079155
383.560181	-71.822563
384.906006	-72.069115
386.251831	-72.552055
387.597656	-72.284042
388.943481	-72.098328
390.289307	-72.350693
391.635132	-72.420288
392.980957	-71.973602
394.326782	-71.963127
395.672607	-71.755981
397.018433	-71.264091
398.364258	-70.956787
399.710083	-71.012413
401.055908	-70.730621
402.401733	-70.386932
403.747559	-70.304413
405.093384	-70.600922
406.439209	-70.938438
407.785034	-70.778152
409.130859	-71.068428
410.476685	-71.615387
411.822510	-70.908043
413.168335	-71.118027
414.514160	-72.196526
415.859985	-70.917580
417.205811	-70.591881
418.551636	-70.930656
419.897461	-71.098274
421.243286	-70.490440
422.589111	-69.565681
423.934937	-70.391510
425.280762	-70.755180
426.626587	-69.449959
427.972412	-69.729797
429.318237	-70.572433
430.664062	-69.739342
432.009888	-68.825935
433.355713	-68.984291
434.701538	-69.193054
436.047363	-68.962364
437.393188	-69.284210
438.739014	-69.158104
440.084839	-68.990776
441.430664	-69.054939
442.776489	-69.116127
444.122314	-68.960670
445.468140	-68.534485
446.813965	-68.276665
448.159790	-68.255959
449.505615	-68.424187
450.851440	-68.151062
452.197266	-67.906601
453.543091	-66.650139
454.888916	-66.948357
456.234741	-66.802193
457.580566	-67.390190
458.926392	-66.946709
460.272217	-66.472420
461.618042	-66.563950
462.963867	-66.790657
464.309692	-66.716270
465.655518	-66.273689
467.001343	-66.337997
468.347168	-66.690208
469.692993	-65.583282
471.038818	-66.002502
472.384644	-65.159416
473.730469	-64.757034
475.076294	-64.410576
476.422119	-64.495766
