Frequency (Hz)	Level (dB)
1.345825	-66.913612
2.691650	-68.058357
4.037476	-70.076836
5.383301	-73.220482
6.729126	-77.954086
8.074951	-83.202980
9.420776	-83.846298
10.766602	-81.979904
12.112427	-81.528839
13.458252	-82.784668
14.804077	-85.210701
16.149902	-85.421791
17.495728	-84.986000
18.841553	-84.989456
20.187378	-85.524414
21.533203	-84.675453
22.879028	-83.080910
24.224854	-81.884422
25.570679	-82.732811
26.916504	-83.794197
28.262329	-83.107498
29.608154	-81.446747
30.953979	-81.848579
32.299805	-81.456955
33.645630	-80.762520
34.991455	-81.413376
36.337280	-81.028519
37.683105	-79.606293
39.028931	-79.382645
40.374756	-79.030937
41.720581	-78.510231
43.066406	-77.596001
44.412231	-76.911507
45.758057	-76.787415
47.103882	-75.821205
48.449707	-75.506073
49.795532	-74.974487
51.141357	-74.917938
52.487183	-74.253731
53.833008	-73.487411
55.178833	-73.703247
56.524658	-73.511391
57.870483	-71.966904
59.216309	-71.623085
60.562134	-71.271225
61.907959	-71.015350
63.253784	-71.082451
64.599609	-70.805496
65.945435	-70.897781
67.291260	-70.629547
68.637085	-70.278442
69.982910	-69.881279
71.328735	-69.606270
72.674561	-68.982407
74.020386	-68.762077
75.366211	-68.731094
76.712036	-68.540466
78.057861	-68.132233
79.403687	-67.732109
80.749512	-67.727585
82.095337	-67.063721
83.441162	-66.227547
84.786987	-66.625183
86.132812	-66.594933
87.478638	-66.890640
88.824463	-66.775261
90.170288	-66.769058
91.516113	-66.460159
92.861938	-65.586693
94.207764	-66.049515
95.553589	-66.720459
96.899414	-66.726418
98.245239	-66.788719
99.591064	-66.834747
100.936890	-66.739288
102.282715	-66.597015
103.628540	-66.541672
104.974365	-66.545837
106.320190	-66.580154
107.666016	-66.489227
109.011841	-66.498909
110.357666	-66.645859
111.703491	-66.652275
113.049316	-66.589157
114.395142	-66.593109
115.740967	-66.783821
117.086792	-66.273399
118.432617	-63.547771
119.778442	-64.975822
121.124268	-66.491829
122.470093	-66.960838
123.815918	-67.263466
125.161743	-67.345940
126.507568	-67.199585
127.853394	-67.358978
129.199219	-67.588341
130.545044	-67.610466
131.890869	-67.740181
133.236694	-67.843262
134.582520	-67.806549
135.928345	-67.963722
137.274170	-67.978935
138.619995	-67.907280
139.965820	-67.940788
141.311646	-68.026306
142.657471	-68.101387
144.003296	-68.028229
145.349121	-67.930214
146.694946	-67.860382
148.040771	-67.879410
149.386597	-67.838028
150.732422	-67.703903
152.078247	-67.604492
153.424072	-67.427940
154.769897	-67.326042
156.115723	-67.169640
157.461548	-66.913437
158.807373	-66.804909
160.153198	-66.590385
161.499023	-66.393845
162.844849	-66.138054
164.190674	-65.866653
165.536499	-65.627197
166.882324	-65.446716
168.228149	-65.244064
169.573975	-64.922607
170.919800	-64.643639
172.265625	-64.411201
173.611450	-64.143883
174.957275	-63.884686
176.303101	-63.589344
177.648926	-63.325657
178.994751	-63.087303
180.340576	-62.849472
181.686401	-62.596104
183.032227	-62.361183
184.378052	-62.102161
185.723877	-61.828056
187.069702	-61.587044
188.415527	-61.371403
189.761353	-61.146458
191.107178	-60.908981
192.453003	-60.689796
193.798828	-60.467670
195.144653	-60.215595
196.490479	-59.960320
197.836304	-59.744671
199.182129	-59.556702
200.527954	-59.347855
201.873779	-59.109863
203.219604	-58.860603
204.565430	-58.645233
205.911255	-58.472794
207.257080	-58.283810
208.602905	-58.045166
209.948730	-57.805561
211.294556	-57.595631
212.640381	-57.404724
213.986206	-57.187462
215.332031	-56.961552
216.677856	-56.750477
218.023682	-56.534973
219.369507	-56.299194
220.715332	-56.082542
222.061157	-55.851444
223.406982	-55.594959
224.752808	-55.351013
226.098633	-55.124996
227.444458	-54.865879
228.790283	-54.536682
230.136108	-54.319469
231.481934	-54.075211
232.827759	-53.751122
234.173584	-53.430897
235.519409	-53.119091
236.865234	-52.854408
238.211060	-52.493477
239.556885	-52.142715
240.902710	-51.837944
242.248535	-51.504471
243.594360	-51.180557
244.940186	-50.934948
246.286011	-50.799545
247.631836	-50.622849
248.977661	-50.476368
250.323486	-50.485615
251.669312	-50.589428
253.015137	-50.696953
254.360962	-50.834827
255.706787	-51.067566
257.052612	-51.329258
258.398438	-51.580784
259.744263	-51.859524
261.090088	-52.135036
262.435913	-52.407257
263.781738	-52.679657
265.127563	-52.965729
266.473389	-53.223042
267.819214	-53.488079
269.165039	-53.748569
270.510864	-53.970211
271.856689	-54.211819
273.202515	-54.431911
274.548340	-54.646549
275.894165	-54.858654
277.239990	-55.034302
278.585815	-55.214008
279.931641	-55.418831
281.277466	-55.617657
282.623291	-55.765396
283.969116	-55.951488
285.314941	-56.128334
286.660767	-56.293686
288.006592	-56.485088
289.352417	-56.658653
290.698242	-56.827118
292.044067	-57.008808
293.389893	-57.176727
294.735718	-57.338318
296.081543	-57.516872
297.427368	-57.699295
298.773193	-57.869011
300.119019	-58.031456
301.464844	-58.223938
302.810669	-58.417393
304.156494	-58.570671
305.502319	-58.762985
306.848145	-58.988575
308.193970	-59.173115
309.539795	-59.359230
310.885620	-59.556637
312.231445	-59.751537
313.577271	-59.937626
314.923096	-60.113155
316.268921	-60.313370
317.614746	-60.546741
318.960571	-60.791679
320.306396	-60.994236
321.652222	-61.189297
322.998047	-61.443928
324.343872	-61.655468
325.689697	-61.874138
327.035522	-62.081238
328.381348	-62.274117
329.727173	-62.499405
331.072998	-62.700966
332.418823	-62.857151
333.764648	-63.036476
335.110474	-63.268852
336.456299	-63.428028
337.802124	-63.570522
339.147949	-63.727070
340.493774	-63.861500
341.839600	-63.931747
343.185425	-64.048813
344.531250	-64.147667
345.877075	-64.235306
347.222900	-64.305443
348.568726	-64.338890
349.914551	-64.310539
351.260376	-64.302528
352.606201	-64.290558
353.952026	-64.301590
355.297852	-64.186363
356.643677	-64.114883
357.989502	-64.100533
359.335327	-63.965012
360.681152	-63.845222
362.026978	-63.704327
363.372803	-63.576740
364.718628	-63.496590
366.064453	-63.336140
367.410278	-63.176273
368.756104	-63.017757
370.101929	-62.894985
371.447754	-62.789898
372.793579	-62.629211
374.139404	-62.522865
375.485229	-62.420464
376.831055	-62.277267
378.176880	-62.138435
379.522705	-62.024296
380.868530	-61.913063
382.214355	-61.801205
383.560181	-61.678928
384.906006	-61.554813
386.251831	-61.449902
387.597656	-61.377029
388.943481	-61.284233
390.289307	-61.176891
391.635132	-61.101067
392.980957	-61.052860
394.326782	-60.988449
395.672607	-60.909840
397.018433	-60.866764
398.364258	-60.826923
399.710083	-60.774715
401.055908	-60.729912
402.401733	-60.694328
403.747559	-60.673286
405.093384	-60.655914
406.439209	-60.632576
407.785034	-60.618492
409.130859	-60.619442
410.476685	-60.636719
411.822510	-60.651192
413.168335	-60.662952
414.514160	-60.679367
415.859985	-60.700768
417.205811	-60.720158
418.551636	-60.763607
419.897461	-60.773636
421.243286	-60.805622
422.589111	-60.853294
423.934937	-60.909504
425.280762	-60.962883
426.626587	-61.011486
427.972412	-61.048573
429.318237	-61.089596
430.664062	-61.116909
432.009888	-61.166653
433.355713	-61.230865
434.701538	-61.233482
436.047363	-61.252949
437.393188	-61.240688
438.739014	-61.228302
440.084839	-61.216339
441.430664	-61.131088
442.776489	-61.066498
444.122314	-61.034279
445.468140	-60.920094
446.813965	-60.823769
448.159790	-60.537506
449.505615	-60.483753
450.851440	-60.258423
452.197266	-59.998398
453.543091	-59.881405
454.888916	-59.649220
456.234741	-59.475769
457.580566	-59.197361
458.926392	-58.837593
460.272217	-58.624187
461.618042	-58.338299
462.963867	-58.027206
464.309692	-57.776470
465.655518	-57.451775
467.001343	-57.133366
468.347168	-56.805050
469.692993	-56.472065
471.038818	-56.153023
472.384644	-55.794758
473.730469	-55.479286
475.076294	-55.149921
476.422119	-54.845570
477.767944	-54.498577
479.113770	-54.171036
480.459595	-53.828476
481.805420	-53.508511
483.151245	-53.198475
484.497070	-52.865276
485.842896	-52.523720
487.188721	-52.203728
488.534546	-51.902344
489.880371	-51.595200
491.226196	-51.297302
492.572021	-50.998135
493.917847	-50.702679
495.263672	-50.432144
496.609497	-50.171078
497.955322	-49.921387
499.301147	-49.694511
500.646973	-49.494457
501.992798	-49.318527
503.338623	-49.163681
504.684448	-49.039223
506.030273	-48.943932
507.376099	-48.885899
508.721924	-48.867615
510.067749	-48.889465
511.413574	-48.957405
512.759399	-49.060551
514.105225	-49.202393
515.451050	-49.385025
516.796875	-49.590916
518.142700	-49.831524
519.488525	-50.099689
520.834351	-50.398857
522.180176	-50.718220
523.526001	-51.067818
524.871826	-51.426140
526.217651	-51.793987
527.563477	-52.163353
528.909302	-52.542568
530.255127	-52.919441
531.600952	-53.294415
532.946777	-53.673721
534.292603	-54.009323
535.638428	-54.362125
536.984253	-54.684765
538.330078	-55.016319
539.675903	-55.315216
541.021729	-55.605621
542.367554	-55.867249
543.713379	-56.116447
545.059204	-56.348747
546.405029	-56.538868
547.750854	-56.727142
549.096680	-56.909794
550.442505	-57.023464
551.788330	-57.134804
553.134155	-57.261719
554.479980	-57.349213
555.825806	-57.387596
557.171631	-57.434536
558.517456	-57.480392
559.863281	-57.508980
561.209106	-57.493084
562.554932	-57.522289
563.900757	-57.519173
565.246582	-57.521778
566.592407	-57.461498
567.938232	-57.480408
569.284058	-57.447227
570.629883	-57.413239
571.975708	-57.382927
