Frequency (Hz)	Level (dB)
1.345825	-113.847794
2.691650	-103.828072
4.037476	-99.155762
5.383301	-93.656761
6.729126	-91.703224
8.074951	-92.738190
9.420776	-91.377350
10.766602	-88.388008
12.112427	-89.255333
13.458252	-86.121521
14.804077	-83.529556
16.149902	-87.133804
17.495728	-85.453308
18.841553	-82.539940
20.187378	-83.592896
21.533203	-81.780464
22.879028	-80.291763
24.224854	-81.754028
25.570679	-79.369743
26.916504	-78.199715
28.262329	-78.955490
29.608154	-78.518044
30.953979	-80.407150
32.299805	-80.967201
33.645630	-79.084114
34.991455	-79.183479
36.337280	-80.136734
37.683105	-78.402077
39.028931	-75.740013
40.374756	-75.536720
41.720581	-77.960571
43.066406	-75.696190
44.412231	-76.756859
45.758057	-75.643547
47.103882	-74.321907
48.449707	-73.321381
49.795532	-74.541710
51.141357	-75.825577
52.487183	-75.683777
53.833008	-75.297485
55.178833	-73.094902
56.524658	-71.976463
57.870483	-74.452827
59.216309	-72.946831
60.562134	-73.495728
61.907959	-73.417854
63.253784	-73.068726
64.599609	-72.605263
65.945435	-74.063354
67.291260	-77.677864
68.637085	-75.092758
69.982910	-73.275467
71.328735	-73.466011
72.674561	-71.648338
74.020386	-71.152466
75.366211	-72.730133
76.712036	-71.666435
78.057861	-72.763947
79.403687	-73.857368
80.749512	-72.618355
82.095337	-69.720757
83.441162	-70.814232
84.786987	-70.517731
86.132812	-72.460640
87.478638	-74.616531
88.824463	-71.150742
90.170288	-69.899406
91.516113	-68.960159
92.861938	-69.079185
94.207764	-73.022957
95.553589	-69.968903
96.899414	-71.031120
98.245239	-72.016602
99.591064	-71.850273
100.936890	-71.379211
102.282715	-71.009781
103.628540	-71.186546
104.974365	-72.469688
106.320190	-73.176796
107.666016	-71.389145
109.011841	-71.657967
110.357666	-73.075027
111.703491	-70.998672
113.049316	-70.669960
114.395142	-71.485909
115.740967	-73.114090
117.086792	-73.009224
118.432617	-67.654610
119.778442	-68.740524
121.124268	-70.760612
122.470093	-71.646736
123.815918	-72.887466
125.161743	-70.364777
126.507568	-71.296425
127.853394	-72.057533
129.199219	-72.371590
130.545044	-69.699333
131.890869	-72.888939
133.236694	-71.021500
134.582520	-70.509232
135.928345	-71.288483
137.274170	-71.359093
138.619995	-71.248207
139.965820	-70.738190
141.311646	-69.761711
142.657471	-71.607544
144.003296	-72.871010
145.349121	-71.947021
146.694946	-70.309982
148.040771	-72.245872
149.386597	-72.934784
150.732422	-70.548111
152.078247	-71.262329
153.424072	-68.327492
154.769897	-66.776581
156.115723	-67.202339
157.461548	-69.478462
158.807373	-70.828499
160.153198	-71.419495
161.499023	-70.405258
162.844849	-68.410622
164.190674	-68.129677
165.536499	-68.618958
166.882324	-68.453094
168.228149	-68.878342
169.573975	-72.050400
170.919800	-69.483284
172.265625	-67.275627
173.611450	-67.994637
174.957275	-66.859856
176.303101	-67.833519
177.648926	-68.559990
178.994751	-68.968376
180.340576	-69.009415
181.686401	-68.592407
183.032227	-69.986450
184.378052	-68.861267
185.723877	-65.698334
187.069702	-66.183762
188.415527	-67.748810
189.761353	-66.896042
191.107178	-69.522972
192.453003	-68.869797
193.798828	-65.693649
195.144653	-65.580307
196.490479	-66.105843
197.836304	-66.017700
199.182129	-67.213058
200.527954	-64.597679
201.873779	-65.213867
203.219604	-67.381142
204.565430	-65.412895
205.911255	-64.950233
207.257080	-65.598854
208.602905	-65.650391
209.948730	-63.491467
211.294556	-61.585621
212.640381	-64.194397
213.986206	-64.535988
215.332031	-63.813290
216.677856	-61.997379
218.023682	-60.541733
219.369507	-62.583874
220.715332	-60.956486
222.061157	-60.740612
223.406982	-58.941822
224.752808	-62.287441
226.098633	-61.962944
227.444458	-58.888546
228.790283	-59.312191
230.136108	-58.844971
231.481934	-56.518513
232.827759	-57.007637
234.173584	-58.918133
235.519409	-56.245716
236.865234	-54.944405
238.211060	-55.445946
239.556885	-53.569592
240.902710	-51.957710
242.248535	-54.130634
243.594360	-55.214722
244.940186	-53.637569
246.286011	-53.987862
247.631836	-53.427971
248.977661	-54.048534
250.323486	-56.597214
251.669312	-56.484734
253.015137	-54.892075
254.360962	-55.043434
255.706787	-53.468182
257.052612	-54.898468
258.398438	-56.955761
259.744263	-55.757740
261.090088	-55.036144
262.435913	-56.298744
263.781738	-56.890450
265.127563	-57.531128
266.473389	-57.013702
267.819214	-57.731430
269.165039	-58.025375
270.510864	-59.196312
271.856689	-59.411530
273.202515	-58.812660
274.548340	-60.813488
275.894165	-62.808018
277.239990	-61.837273
278.585815	-62.181278
279.931641	-62.223167
281.277466	-61.138371
282.623291	-63.019855
283.969116	-63.917004
285.314941	-64.156601
286.660767	-64.221367
288.006592	-63.568344
289.352417	-65.133682
290.698242	-64.266937
292.044067	-63.108006
293.389893	-62.316601
294.735718	-63.797066
296.081543	-65.852638
297.427368	-63.895176
298.773193	-62.881374
300.119019	-64.015671
301.464844	-65.477524
302.810669	-64.986877
304.156494	-63.670544
305.502319	-62.501579
