Frequency (Hz)	Level (dB)
1.345825	-111.113510
2.691650	-102.628326
4.037476	-97.654610
5.383301	-97.256737
6.729126	-96.669289
8.074951	-95.184189
9.420776	-90.069748
10.766602	-86.848389
12.112427	-87.191711
13.458252	-86.212692
14.804077	-86.535339
16.149902	-87.955200
17.495728	-88.303665
18.841553	-85.622620
20.187378	-84.098625
21.533203	-81.074089
22.879028	-81.463585
24.224854	-82.820427
25.570679	-81.113312
26.916504	-80.992874
28.262329	-80.948059
29.608154	-79.810043
30.953979	-80.720940
32.299805	-79.844368
33.645630	-79.554321
34.991455	-79.729370
36.337280	-78.163322
37.683105	-77.001221
39.028931	-76.474457
40.374756	-74.476425
41.720581	-75.336861
43.066406	-76.138100
44.412231	-76.041634
45.758057	-76.737404
47.103882	-76.116539
48.449707	-77.406090
49.795532	-75.864944
51.141357	-74.931229
52.487183	-74.477020
53.833008	-73.930023
55.178833	-73.056030
56.524658	-73.153374
57.870483	-72.687614
59.216309	-74.075195
60.562134	-75.218460
61.907959	-73.234352
63.253784	-72.280411
64.599609	-71.404083
65.945435	-73.211273
67.291260	-73.959000
68.637085	-73.536919
69.982910	-73.246185
71.328735	-73.617142
72.674561	-72.724724
74.020386	-73.905945
75.366211	-72.021584
76.712036	-72.203835
78.057861	-72.863617
79.403687	-74.486649
80.749512	-72.241150
82.095337	-71.189568
83.441162	-71.271828
84.786987	-71.795815
86.132812	-71.567787
87.478638	-72.575500
88.824463	-72.326714
90.170288	-72.432297
91.516113	-73.200874
92.861938	-71.006287
94.207764	-70.340202
95.553589	-73.219193
96.899414	-73.759254
98.245239	-71.816238
99.591064	-70.705856
100.936890	-71.081444
102.282715	-72.130043
103.628540	-71.372925
104.974365	-71.572342
106.320190	-73.177696
107.666016	-72.415245
109.011841	-71.823051
110.357666	-72.008919
111.703491	-70.873589
113.049316	-71.703232
114.395142	-71.933060
115.740967	-70.861603
117.086792	-71.265564
118.432617	-68.470825
119.778442	-69.756966
121.124268	-71.525841
122.470093	-71.579239
123.815918	-71.894608
125.161743	-71.402779
126.507568	-69.776344
127.853394	-69.634499
129.199219	-70.635597
130.545044	-70.307175
131.890869	-71.099686
133.236694	-73.123764
134.582520	-72.966759
135.928345	-69.846420
137.274170	-69.384491
138.619995	-72.223511
139.965820	-72.063965
141.311646	-71.258339
142.657471	-73.359787
144.003296	-71.149101
145.349121	-71.167778
146.694946	-72.915283
148.040771	-70.540314
149.386597	-71.164429
150.732422	-69.204788
152.078247	-68.755981
153.424072	-70.475700
154.769897	-70.387939
156.115723	-71.108017
157.461548	-71.550835
158.807373	-72.859833
160.153198	-70.576401
161.499023	-70.032303
162.844849	-69.756706
164.190674	-69.353485
165.536499	-68.686996
166.882324	-68.214714
168.228149	-68.442047
169.573975	-70.558357
170.919800	-68.085106
172.265625	-67.928131
173.611450	-69.896980
174.957275	-68.234909
176.303101	-66.126923
177.648926	-67.477440
178.994751	-68.088814
180.340576	-66.125816
181.686401	-67.215637
183.032227	-68.895004
184.378052	-68.539543
185.723877	-67.781105
187.069702	-66.900055
188.415527	-67.006554
189.761353	-65.973671
191.107178	-67.381516
192.453003	-64.971207
193.798828	-63.523735
195.144653	-63.143482
196.490479	-67.224327
197.836304	-66.357826
199.182129	-66.668587
200.527954	-63.389755
201.873779	-63.825890
203.219604	-66.282982
204.565430	-65.182068
205.911255	-65.561699
207.257080	-64.943916
208.602905	-64.147575
209.948730	-65.526787
211.294556	-64.041298
212.640381	-63.620739
213.986206	-62.926243
215.332031	-61.742897
216.677856	-62.208954
218.023682	-61.418507
219.369507	-61.267235
220.715332	-62.355995
222.061157	-63.252144
223.406982	-62.942238
224.752808	-59.673645
226.098633	-57.944328
227.444458	-57.815201
228.790283	-58.395226
230.136108	-57.334583
231.481934	-55.490383
232.827759	-55.665676
234.173584	-57.339714
235.519409	-57.335579
236.865234	-56.736134
238.211060	-55.333683
239.556885	-55.716873
240.902710	-53.411499
242.248535	-51.322609
243.594360	-54.178780
244.940186	-55.196087
246.286011	-53.855591
247.631836	-52.453594
248.977661	-53.845901
250.323486	-53.146309
251.669312	-53.049740
253.015137	-54.614651
254.360962	-52.898922
255.706787	-52.417477
257.052612	-54.340000
258.398438	-54.641449
259.744263	-54.771572
261.090088	-55.353939
262.435913	-57.274242
263.781738	-58.548092
265.127563	-57.018364
266.473389	-58.540165
267.819214	-59.815784
269.165039	-60.892052
270.510864	-58.300644
271.856689	-57.400978
273.202515	-58.602760
274.548340	-61.735256
275.894165	-59.743668
277.239990	-61.467621
278.585815	-63.139984
279.931641	-60.714939
281.277466	-61.504520
282.623291	-61.723061
283.969116	-61.678791
285.314941	-63.591507
286.660767	-61.297672
288.006592	-60.264236
289.352417	-62.842243
290.698242	-62.834759
292.044067	-62.210178
293.389893	-64.334396
294.735718	-63.365070
296.081543	-63.359268
297.427368	-62.607185
298.773193	-64.172432
300.119019	-65.566780
301.464844	-64.358627
302.810669	-63.094284
304.156494	-62.617474
305.502319	-64.854240
306.848145	-64.397331
308.193970	-65.813690
309.539795	-65.604134
310.885620	-65.260147
312.231445	-65.376495
313.577271	-66.846428
314.923096	-67.289642
316.268921	-65.651428
317.614746	-64.963669
318.960571	-65.203232
320.306396	-66.288513
321.652222	-68.135071
322.998047	-67.916161
324.343872	-66.571411
325.689697	-65.459717
327.035522	-65.678818
328.381348	-67.731560
329.727173	-67.501366
331.072998	-66.416183
332.418823	-69.892868
333.764648	-68.605415
335.110474	-67.359650
336.456299	-68.007408
337.802124	-67.940720
339.147949	-66.894516
340.493774	-66.676300
341.839600	-67.089645
343.185425	-66.917786
344.531250	-66.267807
345.877075	-65.941826
347.222900	-66.351944
348.568726	-65.549126
349.914551	-66.275337
351.260376	-68.459740
352.606201	-69.199608
353.952026	-67.408363
355.297852	-68.317535
356.643677	-67.379135
357.989502	-67.482857
359.335327	-67.910515
360.681152	-67.860481
362.026978	-66.846672
363.372803	-68.784195
364.718628	-66.334663
366.064453	-66.907112
367.410278	-69.648132
368.756104	-68.322235
370.101929	-66.012985
371.447754	-65.836235
372.793579	-66.707375
374.139404	-65.678299
375.485229	-65.584480
376.831055	-69.070915
378.176880	-67.320412
379.522705	-66.167953
380.868530	-67.770882
382.214355	-67.212761
383.560181	-67.143303
384.906006	-67.058624
386.251831	-66.145744
387.597656	-66.496231
388.943481	-67.972313
390.289307	-69.285973
391.635132	-67.532013
392.980957	-67.404182
394.326782	-67.460068
395.672607	-68.799767
397.018433	-67.894264
398.364258	-65.710136
399.710083	-67.232803
401.055908	-66.601814
402.401733	-66.692451
403.747559	-67.522247
405.093384	-69.049713
406.439209	-67.403008
407.785034	-65.538559
409.130859	-66.237747
410.476685	-67.224121
411.822510	-67.961433
413.168335	-68.073029
414.514160	-67.098434
415.859985	-65.456032
417.205811	-66.949287
418.551636	-65.939369
419.897461	-63.752178
421.243286	-65.350494
422.589111	-66.469856
423.934937	-67.143959
425.280762	-64.762520
426.626587	-64.854446
427.972412	-66.618370
429.318237	-67.826691
430.664062	-68.112198
432.009888	-66.211830
433.355713	-64.945457
434.701538	-64.292137
436.047363	-63.544960
437.393188	-62.913933
438.739014	-64.917816
440.084839	-64.979393
441.430664	-65.012100
442.776489	-64.052025
444.122314	-63.718853
445.468140	-63.006882
446.813965	-64.872742
448.159790	-62.974304
449.505615	-62.652863
450.851440	-63.438690
452.197266	-62.865341
453.543091	-62.972107
454.888916	-61.725468
456.234741	-61.602650
457.580566	-61.563671
458.926392	-61.741447
460.272217	-61.681496
461.618042	-61.878696
462.963867	-60.571056
464.309692	-63.208878
465.655518	-61.674339
467.001343	-60.255058
468.347168	-59.936508
469.692993	-60.764191
471.038818	-60.465858
472.384644	-59.395611
473.730469	-60.692043
475.076294	-61.333839
476.422119	-58.056995
477.767944	-59.532246
479.113770	-60.725578
480.459595	-59.859596
481.805420	-59.390690
483.151245	-58.389160
484.497070	-57.935444
485.842896	-58.382675
487.188721	-56.650826
488.534546	-55.472950
489.880371	-55.618664
491.226196	-56.262886
492.572021	-55.928368
493.917847	-55.839073
495.263672	-56.279621
496.609497	-56.035633
497.955322	-56.368973
499.301147	-55.492989
500.646973	-55.988380
501.992798	-56.383621
503.338623	-55.495705
504.684448	-57.831249
506.030273	-55.650036
507.376099	-53.818554
508.721924	-53.361084
510.067749	-53.540173
511.413574	-53.912998
512.759399	-53.434975
514.105225	-56.146713
515.451050	-55.533962
516.796875	-55.897987
518.142700	-56.649044
519.488525	-54.403606
520.834351	-54.177700
522.180176	-55.500267
523.526001	-55.197865
524.871826	-54.547462
526.217651	-56.479088
527.563477	-57.332222
528.909302	-54.951683
530.255127	-56.840584
531.600952	-57.251770
532.946777	-57.334633
534.292603	-57.096329
535.638428	-56.772411
536.984253	-57.866512
538.330078	-58.787510
539.675903	-59.796265
541.021729	-60.004368
542.367554	-59.926262
543.713379	-57.805832
545.059204	-58.208759
546.405029	-59.969585
547.750854	-61.947826
549.096680	-60.463070
550.442505	-58.635662
551.788330	-59.728271
553.134155	-61.475925
554.479980	-63.225330
555.825806	-62.314495
557.171631	-61.027309
558.517456	-61.476265
559.863281	-61.188950
561.209106	-59.988052
562.554932	-59.736053
563.900757	-60.293755
565.246582	-60.065216
566.592407	-60.620575
567.938232	-61.986172
569.284058	-60.283409
570.629883	-60.370850
571.975708	-61.593430
573.321533	-61.923725
574.667358	-61.590290
576.013184	-61.135098
577.359009	-61.384033
578.704834	-61.645428
580.050659	-62.079166
581.396484	-61.076981
582.742310	-61.906036
584.088135	-62.666107
585.433960	-62.698986
586.779785	-63.112282
588.125610	-62.084431
589.471436	-62.130795
590.817261	-63.506966
592.163086	-64.159958
593.508911	-63.904099
594.854736	-62.314667
596.200562	-61.882305
597.546387	-63.707413
598.892212	-66.706665
600.238037	-64.482285
601.583862	-64.021484
602.929688	-63.875462
604.275513	-65.242165
605.621338	-63.554985
606.967163	-63.139259
608.312988	-65.917122
609.658813	-64.245766
611.004639	-66.608246
612.350464	-68.176460
613.696289	-65.355865
615.042114	-63.904007
