Frequency (Hz)	Level (dB)
1.345825	-111.645920
2.691650	-106.294769
4.037476	-99.380493
5.383301	-92.882591
6.729126	-91.597466
8.074951	-92.885429
9.420776	-91.484543
10.766602	-87.251778
12.112427	-85.863655
13.458252	-88.019859
14.804077	-89.016655
16.149902	-89.984703
17.495728	-88.864647
18.841553	-87.363785
20.187378	-86.980469
21.533203	-83.742050
22.879028	-82.752220
24.224854	-84.620934
25.570679	-86.047333
26.916504	-86.544846
28.262329	-86.476768
29.608154	-85.454590
30.953979	-87.033714
32.299805	-86.296608
33.645630	-86.397095
34.991455	-88.031898
36.337280	-85.047722
37.683105	-83.317062
39.028931	-86.192513
40.374756	-85.984917
41.720581	-85.355644
43.066406	-83.480385
44.412231	-83.041725
45.758057	-84.787521
47.103882	-87.334038
48.449707	-87.468086
49.795532	-85.200386
51.141357	-84.565414
52.487183	-84.059052
53.833008	-83.327583
55.178833	-81.356026
56.524658	-80.740173
57.870483	-82.909721
59.216309	-84.099190
60.562134	-80.825378
61.907959	-79.683830
63.253784	-82.065887
64.599609	-85.301208
65.945435	-85.918152
67.291260	-87.322746
68.637085	-88.495239
69.982910	-87.490997
71.328735	-85.116081
72.674561	-83.503075
74.020386	-82.883484
75.366211	-82.553940
76.712036	-81.245071
78.057861	-78.139008
79.403687	-79.365807
80.749512	-74.241707
82.095337	-69.765556
83.441162	-71.431389
84.786987	-74.363937
86.132812	-76.973587
87.478638	-76.691818
88.824463	-74.258842
90.170288	-76.951752
91.516113	-72.636459
92.861938	-69.137711
94.207764	-71.101021
95.553589	-82.644539
96.899414	-87.024055
98.245239	-88.175766
99.591064	-90.494286
100.936890	-90.086578
102.282715	-87.121590
103.628540	-84.399567
104.974365	-84.668343
106.320190	-83.608467
107.666016	-84.819176
109.011841	-85.677574
110.357666	-84.930023
111.703491	-84.431320
113.049316	-84.424065
114.395142	-84.796829
115.740967	-85.477562
117.086792	-74.109154
118.432617	-64.800362
119.778442	-66.826225
121.124268	-76.324921
122.470093	-77.428802
123.815918	-79.047218
125.161743	-86.894669
126.507568	-87.814621
127.853394	-86.759430
129.199219	-86.344673
130.545044	-85.808563
131.890869	-86.689102
133.236694	-85.744286
134.582520	-86.309723
135.928345	-88.327065
137.274170	-89.518562
138.619995	-89.131805
139.965820	-89.537247
141.311646	-89.671959
142.657471	-88.707657
144.003296	-88.301910
145.349121	-87.985085
146.694946	-87.666420
148.040771	-89.669716
149.386597	-90.739204
150.732422	-91.263222
152.078247	-88.344406
153.424072	-88.495026
154.769897	-89.674522
156.115723	-91.016861
157.461548	-90.985611
158.807373	-92.595421
160.153198	-90.628418
161.499023	-89.977898
162.844849	-90.895027
164.190674	-90.277405
165.536499	-89.996162
166.882324	-90.673317
168.228149	-89.308556
169.573975	-89.546318
170.919800	-89.497696
172.265625	-91.012962
173.611450	-92.770844
174.957275	-90.048378
176.303101	-90.508125
177.648926	-90.434502
178.994751	-90.505142
180.340576	-92.097076
181.686401	-91.704910
183.032227	-92.426193
184.378052	-92.746529
185.723877	-92.386375
187.069702	-92.677567
188.415527	-92.228264
189.761353	-90.055946
191.107178	-91.638214
192.453003	-90.486465
193.798828	-91.139725
195.144653	-91.864075
196.490479	-91.184647
