Frequency (Hz)	Level (dB)
1.345825	-111.840897
2.691650	-102.181175
4.037476	-97.937195
5.383301	-95.399475
6.729126	-92.061546
8.074951	-93.985352
9.420776	-91.277824
10.766602	-87.320419
12.112427	-86.813049
13.458252	-87.024696
14.804077	-86.823158
16.149902	-86.399742
17.495728	-85.147621
18.841553	-84.495056
20.187378	-84.225067
21.533203	-83.577576
22.879028	-82.662102
24.224854	-82.578796
25.570679	-82.581619
26.916504	-81.432152
28.262329	-80.059875
29.608154	-80.051262
30.953979	-80.560814
32.299805	-80.620605
33.645630	-79.821655
34.991455	-79.612740
36.337280	-79.892342
37.683105	-79.540016
39.028931	-78.916084
40.374756	-78.162209
41.720581	-77.737045
43.066406	-77.052650
44.412231	-76.840485
45.758057	-76.770866
47.103882	-77.032707
48.449707	-76.685822
49.795532	-76.601631
51.141357	-76.177063
52.487183	-75.821030
53.833008	-75.866730
55.178833	-75.769348
56.524658	-75.210297
57.870483	-74.601952
59.216309	-73.349800
60.562134	-73.065315
61.907959	-73.919899
63.253784	-73.166634
64.599609	-73.371231
65.945435	-73.861679
67.291260	-74.469414
68.637085	-74.584084
69.982910	-73.576271
71.328735	-73.593971
72.674561	-73.491211
74.020386	-73.058571
75.366211	-72.143990
76.712036	-70.793472
78.057861	-71.369469
79.403687	-72.377914
80.749512	-70.184639
82.095337	-68.319283
83.441162	-69.280090
84.786987	-70.510323
86.132812	-71.565323
87.478638	-71.441971
88.824463	-70.614540
90.170288	-70.590904
91.516113	-69.640869
92.861938	-68.276047
94.207764	-69.471313
95.553589	-72.186081
96.899414	-72.872505
98.245239	-72.462967
99.591064	-71.424812
100.936890	-71.507362
102.282715	-72.204041
103.628540	-71.148117
104.974365	-71.605782
106.320190	-71.621758
107.666016	-71.221489
109.011841	-70.862244
110.357666	-71.000145
111.703491	-70.464424
113.049316	-70.573906
114.395142	-71.321785
115.740967	-71.164879
117.086792	-67.535553
118.432617	-60.572529
119.778442	-63.454159
121.124268	-69.884888
122.470093	-68.410240
123.815918	-69.445618
125.161743	-70.406509
126.507568	-69.969322
127.853394	-70.309814
129.199219	-69.999535
130.545044	-69.979340
131.890869	-69.683205
133.236694	-69.053276
134.582520	-68.999382
135.928345	-69.187134
137.274170	-69.158249
138.619995	-69.474586
139.965820	-68.825233
141.311646	-68.992065
142.657471	-69.469032
144.003296	-68.917458
145.349121	-68.406319
146.694946	-68.912071
148.040771	-68.438873
149.386597	-68.093887
150.732422	-67.322342
152.078247	-67.061066
153.424072	-67.120186
154.769897	-67.115746
156.115723	-67.159348
157.461548	-67.257462
158.807373	-66.823380
160.153198	-66.174950
161.499023	-65.751678
162.844849	-65.647072
164.190674	-65.470703
165.536499	-65.072952
166.882324	-64.611908
168.228149	-64.346260
169.573975	-64.685265
170.919800	-63.926899
172.265625	-63.836792
173.611450	-63.703758
174.957275	-62.765949
176.303101	-63.273365
177.648926	-62.844612
178.994751	-62.366356
180.340576	-62.035255
181.686401	-61.783363
183.032227	-62.402473
184.378052	-61.140125
185.723877	-60.941837
187.069702	-59.876972
188.415527	-59.200958
189.761353	-59.192959
191.107178	-59.161926
192.453003	-57.904240
193.798828	-56.442772
195.144653	-55.880318
196.490479	-56.203804
197.836304	-55.823383
199.182129	-55.300526
200.527954	-54.097786
