Frequency (Hz)	Level (dB)
1.345825	-58.490158
2.691650	-61.167847
4.037476	-65.508827
5.383301	-70.322121
6.729126	-73.468994
8.074951	-74.977448
9.420776	-75.942223
10.766602	-77.448738
12.112427	-79.421745
13.458252	-80.377434
14.804077	-81.469711
16.149902	-82.273460
17.495728	-82.727928
18.841553	-83.746819
20.187378	-84.092331
21.533203	-83.631477
22.879028	-82.908257
24.224854	-82.627670
25.570679	-83.326767
26.916504	-82.939079
28.262329	-82.536087
29.608154	-82.908073
30.953979	-83.117744
32.299805	-82.599953
33.645630	-82.277138
34.991455	-81.793358
36.337280	-81.316017
37.683105	-81.452065
39.028931	-80.677689
40.374756	-80.466347
41.720581	-79.578629
43.066406	-78.239143
44.412231	-78.381668
45.758057	-78.071289
47.103882	-77.282494
48.449707	-77.135132
49.795532	-75.851791
51.141357	-75.139725
52.487183	-74.935410
53.833008	-74.459610
55.178833	-74.337059
56.524658	-73.532486
57.870483	-73.262878
59.216309	-72.018692
60.562134	-72.139282
61.907959	-71.773842
63.253784	-71.088402
64.599609	-71.170441
65.945435	-71.129387
67.291260	-70.673752
68.637085	-70.359291
69.982910	-70.111595
71.328735	-69.485909
72.674561	-69.130569
74.020386	-68.656242
75.366211	-68.266655
76.712036	-68.117271
78.057861	-68.050812
79.403687	-67.723419
80.749512	-67.444939
82.095337	-66.677742
83.441162	-64.271652
84.786987	-64.904327
86.132812	-66.086029
87.478638	-66.487831
88.824463	-65.611053
90.170288	-65.908806
91.516113	-65.350830
92.861938	-64.649567
94.207764	-65.519745
95.553589	-66.480560
96.899414	-66.484665
98.245239	-66.393570
99.591064	-66.382401
100.936890	-66.283844
102.282715	-66.131042
103.628540	-66.030830
104.974365	-65.973457
106.320190	-65.958572
107.666016	-65.887726
109.011841	-65.743584
110.357666	-65.625008
111.703491	-65.635643
113.049316	-65.688408
114.395142	-65.751900
115.740967	-65.701653
117.086792	-62.272263
118.432617	-56.453182
119.778442	-59.416080
121.124268	-64.155777
122.470093	-65.038567
123.815918	-65.858139
125.161743	-65.887756
126.507568	-65.824669
127.853394	-65.840950
129.199219	-65.834290
130.545044	-65.853172
131.890869	-65.885353
133.236694	-65.837761
134.582520	-65.897476
135.928345	-65.960686
137.274170	-65.733849
138.619995	-65.629723
139.965820	-65.748764
141.311646	-65.713745
142.657471	-65.602951
144.003296	-65.488899
145.349121	-65.323776
146.694946	-65.318947
148.040771	-65.209419
149.386597	-64.793564
150.732422	-64.671074
152.078247	-64.472420
153.424072	-64.290962
154.769897	-64.103378
156.115723	-63.746407
157.461548	-63.466064
158.807373	-63.230797
160.153198	-62.895699
161.499023	-62.542557
162.844849	-62.125626
164.190674	-61.810181
165.536499	-61.400780
166.882324	-61.027935
168.228149	-60.632172
169.573975	-60.202282
170.919800	-59.762302
172.265625	-59.361538
173.611450	-58.982475
174.957275	-58.561592
176.303101	-58.079094
177.648926	-57.607292
178.994751	-57.158470
180.340576	-56.681828
181.686401	-56.199100
183.032227	-55.731712
184.378052	-55.252270
185.723877	-54.737675
187.069702	-54.175179
188.415527	-53.617462
189.761353	-53.078690
191.107178	-52.550514
192.453003	-52.012215
193.798828	-51.426998
195.144653	-50.833050
196.490479	-50.233337
197.836304	-49.647671
199.182129	-49.079578
200.527954	-48.482906
201.873779	-47.918728
203.219604	-47.403400
204.565430	-46.914818
205.911255	-46.534100
207.257080	-46.278072
208.602905	-46.142048
209.948730	-46.169575
211.294556	-46.322243
212.640381	-46.576866
213.986206	-46.984634
215.332031	-47.510654
216.677856	-48.091904
218.023682	-48.706783
219.369507	-49.316090
220.715332	-49.922485
222.061157	-50.554482
223.406982	-51.167027
224.752808	-51.815838
226.098633	-52.400871
227.444458	-52.999046
228.790283	-53.564606
230.136108	-54.143032
231.481934	-54.672215
232.827759	-55.138596
234.173584	-55.634666
235.519409	-56.081646
236.865234	-56.586857
238.211060	-56.957558
239.556885	-57.388901
240.902710	-57.776459
242.248535	-58.119972
243.594360	-58.421211
244.940186	-58.799038
246.286011	-59.095730
247.631836	-59.281261
248.977661	-59.534561
250.323486	-59.725838
251.669312	-59.868290
253.015137	-60.128357
254.360962	-60.232597
255.706787	-60.342632
257.052612	-60.389782
258.398438	-60.495358
259.744263	-60.630161
261.090088	-60.644196
262.435913	-60.673290
263.781738	-60.698460
265.127563	-60.728500
266.473389	-60.747318
267.819214	-60.710472
269.165039	-60.687206
270.510864	-60.701996
271.856689	-60.692635
273.202515	-60.655468
274.548340	-60.617237
275.894165	-60.628750
277.239990	-60.609615
278.585815	-60.581924
279.931641	-60.599495
281.277466	-60.587975
282.623291	-60.545212
283.969116	-60.513844
285.314941	-60.492668
286.660767	-60.485481
288.006592	-60.481163
289.352417	-60.489769
290.698242	-60.494286
292.044067	-60.504475
293.389893	-60.536037
294.735718	-60.541069
296.081543	-60.552155
297.427368	-60.585976
298.773193	-60.607189
300.119019	-60.623314
301.464844	-60.652580
302.810669	-60.700226
304.156494	-60.759911
305.502319	-60.800804
306.848145	-60.841515
308.193970	-60.901321
309.539795	-60.955605
310.885620	-61.003777
312.231445	-61.072945
313.577271	-61.167763
314.923096	-61.254215
316.268921	-61.307663
317.614746	-61.402317
318.960571	-61.492649
320.306396	-61.539070
321.652222	-61.610836
322.998047	-61.718998
324.343872	-61.796825
325.689697	-61.883560
327.035522	-61.951199
328.381348	-62.052235
329.727173	-62.106724
331.072998	-62.181721
332.418823	-62.273651
333.764648	-62.380692
335.110474	-62.421562
336.456299	-62.436687
337.802124	-62.470123
339.147949	-62.505672
340.493774	-62.515331
341.839600	-62.485291
343.185425	-62.448147
344.531250	-62.385742
345.877075	-62.360027
347.222900	-62.278618
348.568726	-62.208218
349.914551	-62.061378
351.260376	-61.956684
352.606201	-61.771912
353.952026	-61.601837
355.297852	-61.415165
356.643677	-61.174606
357.989502	-60.956608
359.335327	-60.742321
360.681152	-60.508709
362.026978	-60.294853
363.372803	-60.041012
364.718628	-59.779152
366.064453	-59.516994
367.410278	-59.240154
368.756104	-58.985188
370.101929	-58.731888
371.447754	-58.435360
372.793579	-58.141754
374.139404	-57.862228
375.485229	-57.582226
376.831055	-57.331776
378.176880	-57.068871
379.522705	-56.797001
380.868530	-56.531525
382.214355	-56.273911
383.560181	-56.018795
384.906006	-55.758663
386.251831	-55.492798
387.597656	-55.231014
388.943481	-54.979538
390.289307	-54.733971
391.635132	-54.489895
392.980957	-54.244816
394.326782	-54.002243
395.672607	-53.762486
397.018433	-53.520863
398.364258	-53.272713
399.710083	-53.032398
401.055908	-52.806728
402.401733	-52.579967
403.747559	-52.347069
405.093384	-52.108940
406.439209	-51.876198
407.785034	-51.650108
409.130859	-51.433022
410.476685	-51.229572
411.822510	-51.022655
413.168335	-50.825298
414.514160	-50.631245
415.859985	-50.453579
417.205811	-50.302399
418.551636	-50.124310
419.897461	-49.969940
421.243286	-49.838799
422.589111	-49.700413
423.934937	-49.598488
425.280762	-49.539440
426.626587	-49.498756
427.972412	-49.495636
429.318237	-49.555309
430.664062	-49.648129
432.009888	-49.796780
433.355713	-49.986057
434.701538	-50.204960
436.047363	-50.483360
437.393188	-50.756630
438.739014	-51.064030
440.084839	-51.390778
441.430664	-51.733200
442.776489	-52.082981
444.122314	-52.396629
445.468140	-52.743328
446.813965	-53.070263
448.159790	-53.378155
449.505615	-53.672493
450.851440	-53.938610
452.197266	-54.181198
453.543091	-54.414055
454.888916	-54.645763
456.234741	-54.847614
457.580566	-55.018101
458.926392	-55.185257
460.272217	-55.350529
461.618042	-55.482574
462.963867	-55.608845
464.309692	-55.727383
465.655518	-55.827377
467.001343	-55.920872
468.347168	-55.988716
469.692993	-56.082428
471.038818	-56.155373
472.384644	-56.209057
473.730469	-56.264553
475.076294	-56.337727
476.422119	-56.393303
477.767944	-56.426689
479.113770	-56.466228
480.459595	-56.498798
481.805420	-56.528980
483.151245	-56.561832
484.497070	-56.591423
485.842896	-56.620041
487.188721	-56.651920
488.534546	-56.673317
489.880371	-56.689102
491.226196	-56.719479
492.572021	-56.749584
493.917847	-56.770378
495.263672	-56.805485
496.609497	-56.856327
497.955322	-56.906139
499.301147	-56.955822
500.646973	-57.014061
501.992798	-57.082844
503.338623	-57.156769
504.684448	-57.248440
506.030273	-57.352329
507.376099	-57.453621
508.721924	-57.564953
510.067749	-57.693687
511.413574	-57.829842
512.759399	-57.964054
514.105225	-58.103264
515.451050	-58.258812
516.796875	-58.399292
518.142700	-58.538219
519.488525	-58.696579
520.834351	-58.869732
522.180176	-59.033001
523.526001	-59.196861
524.871826	-59.342438
526.217651	-59.472946
527.563477	-59.633759
528.909302	-59.787918
530.255127	-59.898193
531.600952	-60.038502
532.946777	-60.168110
534.292603	-60.269650
535.638428	-60.383938
536.984253	-60.455376
538.330078	-60.551075
539.675903	-60.595657
541.021729	-60.642334
542.367554	-60.632084
543.713379	-60.668839
545.059204	-60.670002
546.405029	-60.592621
547.750854	-60.567768
549.096680	-60.476688
550.442505	-60.375698
551.788330	-60.250038
553.134155	-60.143047
554.479980	-59.984261
555.825806	-59.821293
557.171631	-59.653564
558.517456	-59.441650
559.863281	-59.250587
561.209106	-59.054531
562.554932	-58.833969
563.900757	-58.605534
565.246582	-58.354435
566.592407	-58.111191
567.938232	-57.879230
569.284058	-57.643528
570.629883	-57.397224
571.975708	-57.145302
573.321533	-56.891159
574.667358	-56.637218
576.013184	-56.394035
577.359009	-56.142178
578.704834	-55.888840
580.050659	-55.635284
581.396484	-55.374664
582.742310	-55.119728
584.088135	-54.871483
585.433960	-54.625370
586.779785	-54.380047
588.125610	-54.131523
589.471436	-53.888176
590.817261	-53.645287
592.163086	-53.394009
593.508911	-53.143539
594.854736	-52.898399
596.200562	-52.648991
597.546387	-52.398689
598.892212	-52.152840
600.238037	-51.909286
601.583862	-51.666328
602.929688	-51.425774
604.275513	-51.181026
605.621338	-50.934841
606.967163	-50.701050
608.312988	-50.471176
609.658813	-50.242050
611.004639	-50.023125
612.350464	-49.807499
613.696289	-49.604153
615.042114	-49.419041
616.387939	-49.243023
617.733765	-49.090965
619.079590	-48.958889
620.425415	-48.853165
621.771240	-48.782944
623.117065	-48.743195
624.462891	-48.748177
625.808716	-48.777210
627.154541	-48.839558
628.500366	-48.947144
629.846191	-49.092896
631.192017	-49.263912
632.537842	-49.451069
633.883667	-49.665531
635.229492	-49.900787
636.575317	-50.131145
637.921143	-50.368053
639.266968	-50.595428
640.612793	-50.825108
641.958618	-51.032536
643.304443	-51.237286
644.650269	-51.416241
645.996094	-51.562027
647.341919	-51.702274
648.687744	-51.802917
650.033569	-51.883823
651.379395	-51.960178
652.725220	-51.999279
654.071045	-52.014812
655.416870	-52.012562
656.762695	-52.013748
658.108521	-51.993103
659.454346	-51.954872
660.800171	-51.916061
662.145996	-51.866016
663.491821	-51.816319
664.837646	-51.779755
666.183472	-51.737396
667.529297	-51.703705
668.875122	-51.669109
670.220947	-51.649342
671.566772	-51.639137
672.912598	-51.634403
674.258423	-51.640099
675.604248	-51.658516
676.950073	-51.687550
678.295898	-51.733635
679.641724	-51.788754
680.987549	-51.849525
682.333374	-51.922916
683.679199	-52.004292
685.025024	-52.089546
686.370850	-52.191956
687.716675	-52.302673
689.062500	-52.410889
690.408325	-52.529167
691.754150	-52.661350
693.099976	-52.796604
694.445801	-52.933815
695.791626	-53.080383
697.137451	-53.228313
698.483276	-53.372261
699.829102	-53.528034
701.174927	-53.698463
702.520752	-53.869480
