Frequency (Hz)	Level (dB)
1.345825	-112.520958
2.691650	-102.712296
4.037476	-99.095734
5.383301	-97.566803
6.729126	-95.527771
8.074951	-94.938423
9.420776	-92.794075
10.766602	-89.858215
12.112427	-88.429047
13.458252	-89.131165
14.804077	-89.051598
16.149902	-88.902954
17.495728	-87.978256
18.841553	-86.311821
20.187378	-86.828033
21.533203	-85.561356
22.879028	-84.505821
24.224854	-84.701065
25.570679	-84.903610
26.916504	-84.716286
28.262329	-84.051384
29.608154	-83.170280
30.953979	-83.032013
32.299805	-82.875618
33.645630	-82.615479
34.991455	-82.481262
36.337280	-81.906487
37.683105	-82.589828
39.028931	-83.363899
40.374756	-82.846046
41.720581	-81.869316
43.066406	-81.305618
44.412231	-80.948669
45.758057	-79.823593
47.103882	-79.815300
48.449707	-79.117264
49.795532	-78.549019
51.141357	-79.245247
52.487183	-79.398315
53.833008	-78.440384
55.178833	-77.838615
56.524658	-77.880913
57.870483	-77.457626
59.216309	-76.874023
60.562134	-76.938965
61.907959	-76.877350
63.253784	-76.636726
64.599609	-77.401405
65.945435	-78.450577
67.291260	-78.448082
68.637085	-78.353554
69.982910	-78.332909
71.328735	-78.335518
72.674561	-77.330795
74.020386	-75.951973
75.366211	-75.669106
76.712036	-74.583672
78.057861	-74.305107
79.403687	-75.384705
80.749512	-72.814995
82.095337	-69.631668
83.441162	-70.163513
84.786987	-70.068024
86.132812	-70.007362
87.478638	-71.273582
88.824463	-70.510292
90.170288	-71.482849
91.516113	-68.760925
92.861938	-66.484337
94.207764	-68.844719
95.553589	-76.401077
96.899414	-77.165016
98.245239	-78.129738
99.591064	-76.907982
100.936890	-76.098831
102.282715	-75.670403
103.628540	-75.638489
104.974365	-76.087692
106.320190	-75.641052
107.666016	-74.782997
109.011841	-75.474205
110.357666	-75.777138
111.703491	-76.241241
113.049316	-75.369133
114.395142	-75.311417
115.740967	-75.223656
117.086792	-66.705315
118.432617	-58.623104
119.778442	-61.197258
121.124268	-70.009621
122.470093	-73.119301
123.815918	-72.360542
125.161743	-74.929680
126.507568	-75.252968
127.853394	-75.208733
129.199219	-74.228378
130.545044	-74.311539
131.890869	-73.626175
133.236694	-73.228409
134.582520	-73.860359
135.928345	-73.713821
137.274170	-73.371544
138.619995	-73.224892
139.965820	-73.004868
141.311646	-72.498535
142.657471	-72.704727
144.003296	-73.493103
145.349121	-72.915131
146.694946	-72.472046
148.040771	-72.496834
149.386597	-72.728691
150.732422	-71.321945
152.078247	-70.615341
153.424072	-71.937737
154.769897	-72.647369
156.115723	-71.768402
157.461548	-71.171700
158.807373	-71.482872
160.153198	-71.386230
161.499023	-71.004166
162.844849	-70.224884
164.190674	-69.873062
165.536499	-70.132851
166.882324	-70.000793
168.228149	-69.185883
169.573975	-69.024353
170.919800	-69.471672
172.265625	-68.602928
173.611450	-68.729134
174.957275	-68.780296
176.303101	-68.078461
177.648926	-66.915665
178.994751	-66.135048
180.340576	-66.188873
181.686401	-66.212814
183.032227	-65.545662
184.378052	-65.162964
185.723877	-65.375038
187.069702	-64.195404
188.415527	-64.161194
189.761353	-63.880123
191.107178	-63.513771
192.453003	-62.813667
193.798828	-61.985447
195.144653	-61.310673
196.490479	-60.689140
197.836304	-60.743137
199.182129	-59.603863
200.527954	-58.871891
201.873779	-58.227783
203.219604	-57.772701
204.565430	-56.798458
205.911255	-56.266857
207.257080	-56.742897
208.602905	-57.141682
209.948730	-56.478558
211.294556	-56.925446
212.640381	-56.983723
213.986206	-57.027161
215.332031	-57.270741
216.677856	-58.249817
218.023682	-59.052402
219.369507	-59.577938
220.715332	-59.680500
222.061157	-60.837311
223.406982	-60.178272
