Frequency (Hz)	Level (dB)
21.533203	-70.011810
43.066406	-64.667084
64.599609	-61.011127
86.132812	-58.742123
107.666016	-57.009819
129.199219	-56.100769
150.732422	-54.617081
172.265625	-49.921017
193.798828	-43.648968
215.332031	-42.071461
236.865234	-46.100353
258.398438	-51.020084
279.931641	-53.376072
301.464844	-54.334904
322.998047	-54.089474
344.531250	-53.077396
366.064453	-51.298565
387.597656	-48.307564
409.130859	-44.315517
430.664062	-42.396137
452.197266	-44.527851
473.730469	-48.424679
495.263672	-50.557014
516.796875	-51.361237
538.330078	-51.370426
559.863281	-50.468643
581.396484	-48.093960
602.929688	-44.182869
624.462891	-41.364334
645.996094	-42.133595
667.529297	-44.082047
689.062500	-45.969463
710.595703	-47.752296
732.128906	-48.880596
753.662109	-49.002644
775.195312	-47.927662
796.728516	-46.469162
818.261719	-45.154224
839.794922	-44.332493
861.328125	-44.272541
882.861328	-44.964870
904.394531	-45.538918
925.927734	-45.957157
947.460938	-46.845425
968.994141	-47.037594
990.527344	-46.636307
1012.060547	-45.743927
1033.593750	-44.771782
1055.126953	-42.635914
1076.660156	-38.212734
1098.193359	-33.854439
1119.726562	-33.793842
1141.259766	-37.439583
1162.792969	-40.518032
1184.326172	-41.702148
1205.859375	-41.995274
1227.392578	-41.233330
1248.925781	-39.290386
1270.458984	-35.203842
1291.992188	-31.122087
1313.525391	-30.407240
1335.058594	-33.486744
1356.591797	-37.103741
1378.125000	-38.932785
1399.658203	-39.578922
1421.191406	-39.154198
1442.724609	-38.062603
1464.257812	-35.882702
1485.791016	-33.030651
1507.324219	-30.992144
1528.857422	-31.507925
1550.390625	-34.193092
1571.923828	-36.434372
1593.457031	-37.622845
1614.990234	-38.043457
1636.523438	-37.787758
1658.056641	-37.181602
1679.589844	-35.777729
1701.123047	-34.724209
1722.656250	-34.138840
1744.189453	-34.142330
1765.722656	-34.372768
1787.255859	-34.935745
1808.789062	-35.812538
1830.322266	-36.494240
1851.855469	-36.825378
1873.388672	-36.852665
1894.921875	-36.358833
1916.455078	-35.643703
1937.988281	-34.834309
1959.521484	-33.993118
1981.054688	-33.497429
2002.587891	-33.523361
2024.121094	-33.793186
2045.654297	-34.744335
2067.187500	-35.654396
2088.720703	-36.292316
2110.253906	-36.701492
2131.787109	-36.071152
2153.320312	-34.705654
2174.853516	-33.273636
2196.386719	-31.580711
2217.919922	-30.599058
2239.453125	-31.473680
2260.986328	-33.300907
2282.519531	-35.166718
2304.052734	-36.323929
2325.585938	-36.631355
2347.119141	-36.157013
2368.652344	-34.685314
2390.185547	-32.079330
2411.718750	-29.335960
2433.251953	-28.665674
2454.785156	-30.245623
2476.318359	-33.217010
2497.851562	-35.501625
2519.384766	-36.269947
2540.917969	-36.618767
2562.451172	-35.948677
2583.984375	-34.263882
2605.517578	-31.419264
2627.050781	-28.112713
2648.583984	-27.045193
2670.117188	-29.565462
2691.650391	-33.097313
2713.183594	-35.269749
2734.716797	-36.180588
2756.250000	-36.617931
2777.783203	-35.906090
2799.316406	-33.793552
2820.849609	-30.633228
2842.382812	-27.336006
2863.916016	-26.518440
2885.449219	-29.243637
2906.982422	-32.767086
2928.515625	-34.968227
2950.048828	-35.777027
2971.582031	-35.748486
2993.115234	-35.083546
3014.648438	-33.092739
3036.181641	-29.980270
3057.714844	-26.497849
3079.248047	-25.654507
3100.781250	-28.416969
3122.314453	-31.788284
3143.847656	-33.741089
3165.380859	-34.726444
3186.914062	-34.856903
3208.447266	-34.174179
3229.980469	-32.489948
3251.513672	-29.317150
3273.046875	-25.762470
3294.580078	-24.755087
3316.113281	-27.074663
3337.646484	-30.259502
3359.179688	-32.339809
3380.712891	-33.048267
3402.246094	-33.214138
3423.779297	-32.747471
3445.312500	-30.882801
3466.845703	-28.101015
3488.378906	-25.122156
3509.912109	-24.088089
3531.445312	-25.932814
3552.978516	-29.063730
3574.511719	-31.496319
3596.044922	-32.203232
3617.578125	-32.430527
3639.111328	-32.174599
3660.644531	-30.583471
3682.177734	-28.266451
3703.710938	-25.483448
3725.244141	-24.150183
3746.777344	-25.431225
3768.310547	-28.769285
3789.843750	-31.367756
3811.376953	-32.978378
3832.910156	-33.608757
3854.443359	-33.568314
3875.976562	-32.629532
3897.509766	-30.812134
3919.042969	-27.837502
3940.576172	-26.311007
3962.109375	-27.149141
3983.642578	-30.220003
4005.175781	-33.509190
4026.708984	-35.496552
4048.242188	-36.133156
4069.775391	-36.218742
4091.308594	-35.433434
4112.841797	-33.508011
4134.375000	-30.725153
4155.908203	-28.939007
4177.441406	-29.996414
4198.974609	-32.881943
4220.507812	-35.770355
4242.041016	-37.997833
4263.574219	-39.075752
4285.107422	-39.240257
4306.640625	-38.313362
4328.173828	-36.511070
4349.707031	-33.671959
4371.240234	-32.011524
4392.773438	-33.171295
4414.306641	-36.475601
4435.839844	-38.879944
4457.373047	-40.582104
4478.906250	-41.672359
4500.439453	-41.626865
4521.972656	-40.917744
4543.505859	-39.269100
4565.039062	-36.796673
4586.572266	-35.045208
4608.105469	-35.726017
4629.638672	-38.577427
4651.171875	-41.353893
4672.705078	-42.814121
4694.238281	-43.665245
4715.771484	-43.823196
4737.304688	-43.201351
4758.837891	-41.898643
4780.371094	-39.936779
4801.904297	-38.713642
4823.437500	-39.311977
4844.970703	-41.420673
4866.503906	-43.491379
4888.037109	-45.131001
4909.570312	-45.922863
4931.103516	-45.878593
4952.636719	-45.437557
4974.169922	-44.532814
4995.703125	-43.032204
5017.236328	-41.514523
5038.769531	-40.960533
5060.302734	-42.177399
5081.835938	-44.142437
5103.369141	-45.529568
5124.902344	-46.558098
5146.435547	-46.896252
5167.968750	-46.704464
5189.501953	-46.018169
5211.035156	-44.693836
5232.568359	-43.249367
5254.101562	-42.416237
5275.634766	-42.414913
5297.167969	-43.760094
5318.701172	-45.599594
5340.234375	-46.672554
5361.767578	-47.386456
5383.300781	-47.624809
5404.833984	-47.073883
5426.367188	-45.819141
5447.900391	-44.037796
5469.433594	-42.429646
5490.966797	-42.101257
5512.500000	-43.587723
5534.033203	-45.401024
5555.566406	-47.035786
5577.099609	-47.993507
5598.632812	-48.358139
5620.166016	-48.092686
5641.699219	-46.436543
5663.232422	-44.346962
5684.765625	-42.636539
5706.298828	-42.601040
5727.832031	-43.932705
5749.365234	-45.824448
5770.898438	-47.580696
5792.431641	-48.715034
5813.964844	-48.976597
5835.498047	-48.339935
5857.031250	-46.994568
5878.564453	-45.561172
5900.097656	-43.691601
5921.630859	-43.016376
5943.164062	-44.035423
5964.697266	-46.187408
5986.230469	-47.815742
6007.763672	-48.704941
6029.296875	-49.053860
6050.830078	-48.815022
6072.363281	-47.771019
6093.896484	-45.975773
6115.429688	-44.445896
6136.962891	-43.508385
6158.496094	-43.882656
6180.029297	-45.964912
6201.562500	-48.046219
6223.095703	-49.022793
6244.628906	-49.434277
6266.162109	-49.097584
6287.695312	-48.141476
6309.228516	-46.599014
6330.761719	-44.705078
6352.294922	-43.288082
