Frequency (Hz)	Level (dB)
1.345825	-79.436798
2.691650	-77.684914
4.037476	-75.590828
5.383301	-73.476814
6.729126	-71.436066
8.074951	-69.483871
9.420776	-67.616615
10.766602	-65.829247
12.112427	-64.119049
13.458252	-62.485832
14.804077	-60.931099
16.149902	-59.457157
17.495728	-58.066231
18.841553	-56.759777
20.187378	-55.537792
21.533203	-54.398327
22.879028	-53.337212
24.224854	-52.348160
25.570679	-51.423321
26.916504	-50.554333
28.262329	-49.733608
29.608154	-48.955395
30.953979	-48.216091
32.299805	-47.513668
33.645630	-46.846523
34.991455	-46.212505
36.337280	-45.608822
37.683105	-45.032681
39.028931	-44.482071
40.374756	-43.955837
41.720581	-43.453022
43.066406	-42.972298
44.412231	-42.512104
45.758057	-42.071232
47.103882	-41.648956
48.449707	-41.244595
49.795532	-40.857193
51.141357	-40.485851
52.487183	-40.129986
53.833008	-39.789104
55.178833	-39.462559
56.524658	-39.149727
57.870483	-38.850208
59.216309	-38.563591
60.562134	-38.289387
61.907959	-38.027210
63.253784	-37.776752
64.599609	-37.537651
65.945435	-37.309586
67.291260	-37.092300
68.637085	-36.885513
69.982910	-36.688976
71.328735	-36.502464
72.674561	-36.325756
74.020386	-36.158676
75.366211	-36.001011
76.712036	-35.852615
78.057861	-35.713326
79.403687	-35.582977
80.749512	-35.461483
82.095337	-35.348671
83.441162	-35.244453
84.786987	-35.148735
86.132812	-35.061386
87.478638	-34.982388
88.824463	-34.911579
90.170288	-34.848980
91.516113	-34.794456
92.861938	-34.748020
94.207764	-34.709583
95.553589	-34.679127
96.899414	-34.656624
98.245239	-34.642029
99.591064	-34.635365
100.936890	-34.636559
102.282715	-34.645664
103.628540	-34.662605
104.974365	-34.687416
106.320190	-34.720043
107.666016	-34.760441
109.011841	-34.808594
110.357666	-34.864315
111.703491	-34.927616
113.049316	-34.998127
114.395142	-35.075855
115.740967	-35.160309
117.086792	-35.251381
118.432617	-35.348682
119.778442	-35.451839
121.124268	-35.560730
122.470093	-35.674675
123.815918	-35.793476
125.161743	-35.916401
126.507568	-36.042526
127.853394	-36.171288
129.199219	-36.301437
130.545044	-36.432186
131.890869	-36.562931
133.236694	-36.692230
134.582520	-36.818951
135.928345	-36.941776
137.274170	-37.058727
138.619995	-37.168671
139.965820	-37.270836
141.311646	-37.363407
142.657471	-37.444569
144.003296	-37.513317
145.349121	-37.568645
146.694946	-37.609535
148.040771	-37.635353
149.386597	-37.645576
150.732422	-37.639839
152.078247	-37.618389
153.424072	-37.581730
154.769897	-37.530392
156.115723	-37.465309
157.461548	-37.387585
158.807373	-37.298119
160.153198	-37.198433
161.499023	-37.090569
162.844849	-36.975555
164.190674	-36.854187
165.536499	-36.728386
166.882324	-36.599747
168.228149	-36.469238
169.573975	-36.338383
170.919800	-36.208050
172.265625	-36.078732
173.611450	-35.951790
174.957275	-35.827915
176.303101	-35.707802
177.648926	-35.592491
178.994751	-35.482101
180.340576	-35.377270
181.686401	-35.278336
183.032227	-35.185394
184.378052	-35.099106
185.723877	-35.019394
187.069702	-34.946838
188.415527	-34.881481
189.761353	-34.823570
191.107178	-34.773308
192.453003	-34.730644
193.798828	-34.695873
195.144653	-34.668766
196.490479	-34.649651
197.836304	-34.638222
199.182129	-34.634815
200.527954	-34.639099
201.873779	-34.651409
203.219604	-34.671402
204.565430	-34.699390
205.911255	-34.735031
207.257080	-34.778564
208.602905	-34.829678
209.948730	-34.888435
211.294556	-34.954613
212.640381	-35.027973
213.986206	-35.108448
215.332031	-35.195477
216.677856	-35.289127
218.023682	-35.388721
219.369507	-35.494202
220.715332	-35.605171
222.061157	-35.721024
223.406982	-35.841621
224.752808	-35.965866
226.098633	-36.093121
227.444458	-36.222618
228.790283	-36.353027
230.136108	-36.483902
231.481934	-36.614273
232.827759	-36.742641
234.173584	-36.868034
235.519409	-36.988781
236.865234	-37.103024
238.211060	-37.210037
239.556885	-37.308681
240.902710	-37.396896
242.248535	-37.473244
243.594360	-37.536842
244.940186	-37.586582
246.286011	-37.621555
247.631836	-37.641266
248.977661	-37.645222
250.323486	-37.633232
251.669312	-37.605694
253.015137	-37.563145
254.360962	-37.506264
255.706787	-37.436081
257.052612	-37.353577
258.398438	-37.259834
259.744263	-37.156727
261.090088	-37.045956
262.435913	-36.928272
263.781738	-36.804924
265.127563	-36.677853
266.473389	-36.548325
267.819214	-36.417530
269.165039	-36.286819
270.510864	-36.156769
271.856689	-36.028259
273.202515	-35.902454
274.548340	-35.779949
275.894165	-35.661671
277.239990	-35.548264
278.585815	-35.440002
279.931641	-35.337482
281.277466	-35.240864
282.623291	-35.150520
283.969116	-35.066799
285.314941	-34.989872
286.660767	-34.920147
