Frequency (Hz)	Level (dB)
1.345825	-65.613113
2.691650	-66.923355
4.037476	-69.260117
5.383301	-72.946228
6.729126	-78.342903
8.074951	-83.258553
9.420776	-81.721359
10.766602	-80.477219
12.112427	-81.594757
13.458252	-83.816719
14.804077	-84.981461
16.149902	-85.190598
17.495728	-85.203934
18.841553	-85.778908
20.187378	-85.513680
21.533203	-85.364128
22.879028	-83.166336
24.224854	-81.427780
25.570679	-83.186813
26.916504	-84.624672
28.262329	-83.671776
29.608154	-83.088615
30.953979	-83.697678
32.299805	-83.847137
33.645630	-82.817642
34.991455	-82.246643
36.337280	-81.742691
37.683105	-82.031425
39.028931	-80.910484
40.374756	-80.943207
41.720581	-80.334137
43.066406	-79.835670
44.412231	-79.042091
45.758057	-78.427460
47.103882	-78.028114
48.449707	-77.344017
49.795532	-76.556946
51.141357	-76.297935
52.487183	-76.276070
53.833008	-75.546883
55.178833	-75.002472
56.524658	-74.087105
57.870483	-73.288361
59.216309	-72.932404
60.562134	-72.773056
61.907959	-72.363045
63.253784	-72.262718
64.599609	-72.446945
65.945435	-72.531952
67.291260	-72.120186
68.637085	-71.913116
69.982910	-71.916359
71.328735	-71.188965
72.674561	-70.656776
74.020386	-70.400581
75.366211	-70.088867
76.712036	-69.832314
78.057861	-69.684570
79.403687	-69.673485
80.749512	-69.114708
82.095337	-68.848740
83.441162	-68.157516
84.786987	-68.201988
86.132812	-68.313568
87.478638	-68.645546
88.824463	-68.520241
90.170288	-68.482849
91.516113	-68.087669
92.861938	-67.187881
94.207764	-67.535004
95.553589	-68.266426
96.899414	-68.274460
98.245239	-68.179703
99.591064	-68.106651
100.936890	-68.114868
102.282715	-68.048386
103.628540	-67.973572
104.974365	-67.990280
106.320190	-68.010475
107.666016	-67.977814
109.011841	-68.072174
110.357666	-68.275078
111.703491	-68.337151
113.049316	-68.282906
114.395142	-68.172462
115.740967	-68.242355
117.086792	-68.059601
118.432617	-65.464310
119.778442	-66.778542
121.124268	-68.502747
122.470093	-68.460526
123.815918	-68.742409
125.161743	-68.864532
126.507568	-68.933922
127.853394	-69.073959
129.199219	-69.035355
130.545044	-69.081963
131.890869	-69.282043
133.236694	-69.261261
134.582520	-69.455849
135.928345	-69.511200
137.274170	-69.601044
138.619995	-69.561584
139.965820	-69.700813
141.311646	-69.798058
142.657471	-69.766800
144.003296	-69.918777
145.349121	-69.807037
146.694946	-69.620453
148.040771	-69.579567
149.386597	-69.616539
150.732422	-69.643417
152.078247	-69.525009
153.424072	-69.365379
154.769897	-69.308899
156.115723	-69.078987
157.461548	-69.136040
158.807373	-68.789291
160.153198	-68.606728
161.499023	-68.498329
162.844849	-68.300171
164.190674	-68.077553
165.536499	-67.902649
166.882324	-67.720222
168.228149	-67.404778
169.573975	-67.161247
170.919800	-66.981079
172.265625	-66.810120
173.611450	-66.570320
174.957275	-66.293892
176.303101	-66.058235
177.648926	-65.882332
178.994751	-65.685463
180.340576	-65.459442
181.686401	-65.226799
183.032227	-65.004494
184.378052	-64.823944
185.723877	-64.637192
187.069702	-64.451691
188.415527	-64.267242
189.761353	-64.042122
191.107178	-63.834213
192.453003	-63.654587
193.798828	-63.490334
195.144653	-63.311710
196.490479	-63.104614
197.836304	-62.938667
199.182129	-62.830158
200.527954	-62.707664
201.873779	-62.543175
203.219604	-62.389660
204.565430	-62.252998
205.911255	-62.129829
207.257080	-61.990665
208.602905	-61.828629
209.948730	-61.695892
211.294556	-61.568607
212.640381	-61.447918
213.986206	-61.302807
215.332031	-61.169853
216.677856	-61.071842
218.023682	-60.954899
219.369507	-60.821236
220.715332	-60.707901
222.061157	-60.599808
223.406982	-60.497616
224.752808	-60.367058
226.098633	-60.231606
227.444458	-60.103760
228.790283	-59.919659
230.136108	-59.832188
231.481934	-59.644127
232.827759	-59.474884
234.173584	-59.329575
235.519409	-59.110752
236.865234	-58.801132
238.211060	-58.564301
239.556885	-58.435074
240.902710	-58.228939
242.248535	-57.937592
243.594360	-57.593689
244.940186	-57.302700
246.286011	-56.793362
247.631836	-56.491421
248.977661	-56.074883
250.323486	-55.644444
251.669312	-55.137981
253.015137	-54.667149
254.360962	-54.140335
255.706787	-53.608593
257.052612	-53.075191
258.398438	-52.514370
259.744263	-51.971722
261.090088	-51.477413
262.435913	-50.973854
263.781738	-50.512909
265.127563	-50.110424
266.473389	-49.789963
267.819214	-49.556015
269.165039	-49.411964
270.510864	-49.338741
271.856689	-49.351791
273.202515	-49.422169
274.548340	-49.561718
275.894165	-49.753696
277.239990	-49.980621
278.585815	-50.235416
279.931641	-50.551170
281.277466	-50.867184
282.623291	-51.185291
283.969116	-51.514473
285.314941	-51.826973
286.660767	-52.148331
288.006592	-52.476528
289.352417	-52.796375
290.698242	-53.103863
292.044067	-53.418976
293.389893	-53.720112
294.735718	-54.015541
296.081543	-54.328480
297.427368	-54.622643
298.773193	-54.905334
300.119019	-55.201725
301.464844	-55.500233
302.810669	-55.789635
304.156494	-56.076084
305.502319	-56.365334
306.848145	-56.653255
308.193970	-56.952354
309.539795	-57.253281
310.885620	-57.542080
312.231445	-57.834682
313.577271	-58.113911
314.923096	-58.400177
316.268921	-58.697830
317.614746	-58.983170
318.960571	-59.276447
320.306396	-59.558399
321.652222	-59.825459
322.998047	-60.121895
324.343872	-60.422722
325.689697	-60.724350
327.035522	-60.990780
328.381348	-61.206806
329.727173	-61.471184
331.072998	-61.759918
332.418823	-62.009201
333.764648	-62.253704
335.110474	-62.497627
336.456299	-62.735382
337.802124	-62.943562
339.147949	-63.181976
340.493774	-63.336758
341.839600	-63.526188
343.185425	-63.707600
344.531250	-63.850475
345.877075	-63.946575
347.222900	-64.069687
348.568726	-64.173653
349.914551	-64.218575
351.260376	-64.269386
352.606201	-64.321190
353.952026	-64.351295
355.297852	-64.316986
356.643677	-64.281754
357.989502	-64.248749
359.335327	-64.205429
360.681152	-64.189087
362.026978	-64.145905
363.372803	-64.086960
364.718628	-63.937679
366.064453	-63.858646
367.410278	-63.835144
368.756104	-63.762074
370.101929	-63.689144
371.447754	-63.592377
372.793579	-63.495354
374.139404	-63.352249
375.485229	-63.293236
376.831055	-63.229752
378.176880	-63.129498
379.522705	-63.063454
380.868530	-63.002655
382.214355	-62.928131
383.560181	-62.829552
384.906006	-62.756744
