Frequency (Hz)	Level (dB)
1.345825	-111.699333
2.691650	-102.648232
4.037476	-98.509048
5.383301	-96.938377
6.729126	-93.886505
8.074951	-91.866890
9.420776	-87.751900
10.766602	-83.421799
12.112427	-81.899223
13.458252	-80.060448
14.804077	-79.858032
16.149902	-81.173798
17.495728	-82.607185
18.841553	-83.529999
20.187378	-84.174820
21.533203	-84.254868
22.879028	-84.027672
24.224854	-84.735344
25.570679	-84.620880
26.916504	-84.120750
28.262329	-84.596024
29.608154	-84.122398
30.953979	-82.772728
32.299805	-82.179436
33.645630	-82.173203
34.991455	-82.176201
36.337280	-81.479042
37.683105	-80.893929
39.028931	-81.474808
40.374756	-81.001007
41.720581	-80.528229
43.066406	-80.832848
44.412231	-81.417496
45.758057	-80.234596
47.103882	-80.427330
48.449707	-80.560028
49.795532	-80.061203
51.141357	-80.680779
52.487183	-80.290726
53.833008	-79.221466
55.178833	-79.683868
56.524658	-79.539940
57.870483	-78.999710
59.216309	-78.153465
60.562134	-77.730606
61.907959	-78.395592
63.253784	-78.262642
64.599609	-78.807274
65.945435	-79.275543
67.291260	-79.364960
68.637085	-80.065010
69.982910	-79.100967
71.328735	-79.061600
72.674561	-79.129410
74.020386	-78.927963
75.366211	-78.537537
76.712036	-77.555504
78.057861	-76.685585
79.403687	-77.261139
80.749512	-74.864326
82.095337	-72.961937
83.441162	-74.577843
84.786987	-74.823227
86.132812	-75.280411
87.478638	-74.563560
88.824463	-74.262756
90.170288	-75.678535
91.516113	-73.713226
92.861938	-71.708855
94.207764	-73.652107
95.553589	-78.013565
96.899414	-78.644417
98.245239	-79.841949
99.591064	-79.066681
100.936890	-78.013603
102.282715	-77.497337
103.628540	-77.614723
104.974365	-78.355659
106.320190	-77.623718
107.666016	-77.325897
109.011841	-78.056351
110.357666	-78.531967
111.703491	-78.505981
113.049316	-77.815994
114.395142	-77.507454
115.740967	-77.205582
117.086792	-75.232758
118.432617	-67.777725
119.778442	-69.177559
121.124268	-75.323868
122.470093	-74.587906
123.815918	-76.496094
125.161743	-77.990646
126.507568	-78.144775
127.853394	-78.421913
129.199219	-77.742126
130.545044	-77.861473
131.890869	-77.502228
133.236694	-77.242134
134.582520	-77.340805
135.928345	-76.947540
137.274170	-77.255577
138.619995	-77.444992
139.965820	-76.690887
141.311646	-76.767685
142.657471	-77.155594
144.003296	-77.429489
145.349121	-77.113136
146.694946	-76.852051
148.040771	-77.041267
149.386597	-77.676445
150.732422	-76.582359
