Frequency (Hz)	Level (dB)
1.345825	-112.168114
2.691650	-103.200493
4.037476	-99.481842
5.383301	-96.934746
6.729126	-94.123573
8.074951	-95.938019
9.420776	-92.527161
10.766602	-88.643410
12.112427	-87.415031
13.458252	-87.600716
14.804077	-88.179482
16.149902	-86.775658
17.495728	-85.936386
18.841553	-86.120148
20.187378	-84.777924
21.533203	-83.202354
22.879028	-82.426025
24.224854	-82.629494
25.570679	-82.513016
26.916504	-81.177605
28.262329	-80.407295
29.608154	-79.835114
30.953979	-81.269722
32.299805	-80.639297
33.645630	-80.414375
34.991455	-79.706459
36.337280	-79.809196
37.683105	-79.814903
39.028931	-78.556145
40.374756	-78.127228
41.720581	-77.738205
43.066406	-77.940422
44.412231	-77.840355
45.758057	-77.004730
47.103882	-77.183823
48.449707	-76.971718
49.795532	-77.365601
51.141357	-77.674683
52.487183	-76.488838
53.833008	-76.242699
55.178833	-76.451683
56.524658	-75.919907
57.870483	-75.878906
59.216309	-75.313606
60.562134	-75.190414
61.907959	-74.702553
63.253784	-74.110626
64.599609	-74.829193
65.945435	-75.257294
67.291260	-75.791977
68.637085	-75.803223
69.982910	-75.369568
71.328735	-72.794449
72.674561	-69.224876
74.020386	-72.817467
75.366211	-75.032745
76.712036	-74.161339
78.057861	-74.530479
79.403687	-75.059196
80.749512	-73.330200
82.095337	-71.778404
83.441162	-72.205353
84.786987	-72.591873
86.132812	-73.415611
87.478638	-74.405914
88.824463	-73.623039
90.170288	-73.107773
91.516113	-72.277893
92.861938	-72.276344
94.207764	-73.314346
95.553589	-74.110657
96.899414	-73.799644
98.245239	-73.528656
99.591064	-73.463371
100.936890	-73.448608
102.282715	-73.896141
103.628540	-73.507729
104.974365	-73.406494
106.320190	-73.461441
107.666016	-73.417252
109.011841	-73.189392
110.357666	-72.399895
111.703491	-72.672890
113.049316	-73.426704
114.395142	-73.684303
115.740967	-73.192421
117.086792	-73.276855
118.432617	-71.257599
119.778442	-71.652145
121.124268	-72.910545
122.470093	-73.577415
123.815918	-73.634392
125.161743	-73.658615
126.507568	-73.291748
127.853394	-73.177032
129.199219	-73.133179
130.545044	-73.025940
131.890869	-73.504372
133.236694	-72.228767
134.582520	-72.042046
135.928345	-72.420616
137.274170	-72.795021
138.619995	-73.113548
139.965820	-72.844612
141.311646	-72.735641
142.657471	-72.451935
144.003296	-73.066757
145.349121	-72.905540
146.694946	-73.466507
148.040771	-72.928116
149.386597	-72.502541
150.732422	-72.394569
152.078247	-71.860611
153.424072	-72.271683
154.769897	-72.133369
156.115723	-72.436768
157.461548	-72.681709
158.807373	-72.405464
160.153198	-71.511047
161.499023	-71.436935
162.844849	-71.881882
164.190674	-71.466171
165.536499	-71.101128
166.882324	-71.050957
168.228149	-71.418251
169.573975	-71.443314
170.919800	-70.677208
172.265625	-70.736649
173.611450	-70.625023
174.957275	-70.028610
176.303101	-70.960236
177.648926	-71.146568
178.994751	-70.956680
180.340576	-70.665146
181.686401	-69.912552
183.032227	-71.140968
184.378052	-71.221153
185.723877	-70.762779
187.069702	-70.347816
188.415527	-69.821777
189.761353	-70.270401
191.107178	-70.512489
192.453003	-69.954552
193.798828	-67.957283
195.144653	-68.223099
196.490479	-68.669067
197.836304	-68.915993
199.182129	-69.192223
200.527954	-67.980339
201.873779	-67.808693
203.219604	-68.533577
204.565430	-68.467018
205.911255	-68.299629
207.257080	-68.364227
208.602905	-67.990685
209.948730	-68.255089
211.294556	-67.691360
212.640381	-67.317490
213.986206	-67.214096
215.332031	-67.054016
216.677856	-66.635094
218.023682	-66.217491
219.369507	-65.933250
220.715332	-66.146141
222.061157	-66.281326
223.406982	-65.569901
224.752808	-64.870728
226.098633	-64.933067
227.444458	-64.919899
228.790283	-64.041069
230.136108	-64.230309
231.481934	-63.639591
232.827759	-63.345524
234.173584	-63.325874
235.519409	-62.312881
236.865234	-62.303291
238.211060	-62.371243
239.556885	-61.601009
240.902710	-60.677647
242.248535	-59.933708
243.594360	-60.723732
244.940186	-60.116322
246.286011	-60.193958
247.631836	-59.785759
248.977661	-59.209423
250.323486	-58.748089
251.669312	-58.386303
253.015137	-58.295147
254.360962	-57.454281
255.706787	-56.749996
257.052612	-56.738178
258.398438	-56.231674
259.744263	-54.747971
261.090088	-54.165165
262.435913	-54.118114
263.781738	-54.144722
265.127563	-54.467537
266.473389	-53.686012
267.819214	-53.990711
269.165039	-54.273636
270.510864	-54.049015
271.856689	-54.307167
273.202515	-54.652721
274.548340	-54.505508
275.894165	-55.052654
277.239990	-56.459702
278.585815	-56.535393
279.931641	-56.514900
281.277466	-56.991837
282.623291	-56.624603
283.969116	-57.444157
285.314941	-58.493755
286.660767	-58.013256
288.006592	-57.867962
289.352417	-58.991951
290.698242	-60.186371
292.044067	-58.690933
293.389893	-59.201870
294.735718	-60.363655
296.081543	-61.308308
297.427368	-60.623829
298.773193	-60.735088
300.119019	-61.161583
301.464844	-62.132351
302.810669	-61.868938
304.156494	-61.551609
305.502319	-62.443329
306.848145	-62.918175
308.193970	-62.644367
309.539795	-63.400436
310.885620	-63.674141
312.231445	-63.214020
313.577271	-63.707027
314.923096	-63.798031
316.268921	-63.550423
317.614746	-64.310188
318.960571	-64.001663
320.306396	-64.466736
321.652222	-65.560333
322.998047	-64.958542
324.343872	-64.880463
325.689697	-65.540474
327.035522	-64.894753
328.381348	-64.851456
329.727173	-65.873741
331.072998	-65.819092
332.418823	-65.089172
333.764648	-65.710579
335.110474	-66.786629
336.456299	-66.647514
337.802124	-66.960793
339.147949	-67.701126
340.493774	-67.391922
341.839600	-66.491173
343.185425	-66.377609
344.531250	-66.510452
345.877075	-66.838173
347.222900	-66.981483
348.568726	-66.998909
349.914551	-67.698601
351.260376	-68.261604
352.606201	-67.357033
353.952026	-66.931915
355.297852	-67.694084
356.643677	-67.799362
357.989502	-68.152206
359.335327	-67.871895
360.681152	-67.544189
362.026978	-67.776024
363.372803	-67.837791
364.718628	-68.040260
366.064453	-68.092613
367.410278	-68.306793
368.756104	-68.559303
370.101929	-68.417290
371.447754	-67.353600
372.793579	-67.553566
374.139404	-68.384277
375.485229	-68.196815
376.831055	-68.637985
378.176880	-68.637978
379.522705	-69.454231
380.868530	-68.499207
382.214355	-68.318497
383.560181	-68.400543
384.906006	-68.872955
386.251831	-68.907082
387.597656	-68.690277
388.943481	-68.382133
390.289307	-68.718109
391.635132	-68.699730
392.980957	-68.937737
394.326782	-68.817093
395.672607	-68.495552
397.018433	-68.434769
398.364258	-68.357010
399.710083	-69.207108
401.055908	-68.162086
402.401733	-67.114357
403.747559	-67.566628
405.093384	-68.580704
406.439209	-68.568291
407.785034	-67.456596
409.130859	-68.018616
410.476685	-68.541130
411.822510	-69.207001
413.168335	-68.681908
414.514160	-68.786491
415.859985	-68.951904
417.205811	-68.581619
418.551636	-68.445457
419.897461	-67.839531
421.243286	-68.117195
422.589111	-68.323380
423.934937	-67.765175
425.280762	-67.141266
426.626587	-67.352325
427.972412	-67.916939
429.318237	-67.898201
430.664062	-67.936813
432.009888	-67.833862
433.355713	-67.364799
434.701538	-67.254189
436.047363	-67.004440
437.393188	-67.721130
438.739014	-67.666649
440.084839	-67.927505
441.430664	-68.370575
442.776489	-67.290405
444.122314	-67.357895
445.468140	-67.180199
446.813965	-67.131805
448.159790	-67.089409
449.505615	-66.624817
450.851440	-66.913673
452.197266	-67.327576
453.543091	-67.593864
454.888916	-66.664848
456.234741	-65.982925
457.580566	-65.958275
458.926392	-65.241692
460.272217	-66.017410
461.618042	-65.984573
462.963867	-65.614655
464.309692	-65.944130
465.655518	-65.363205
467.001343	-65.796928
468.347168	-65.503510
469.692993	-65.428711
471.038818	-65.706268
472.384644	-65.723969
473.730469	-65.698250
475.076294	-65.484756
476.422119	-65.300392
477.767944	-65.525154
479.113770	-65.035576
480.459595	-64.594742
481.805420	-64.866577
483.151245	-65.268059
484.497070	-65.117256
485.842896	-63.971867
487.188721	-64.183792
488.534546	-63.567001
489.880371	-63.230694
491.226196	-63.231468
492.572021	-63.868900
493.917847	-64.375092
495.263672	-63.549068
496.609497	-63.323158
497.955322	-63.515789
499.301147	-63.432682
500.646973	-63.541870
501.992798	-63.440292
503.338623	-62.112331
504.684448	-62.424500
506.030273	-62.915329
507.376099	-61.844994
508.721924	-62.032330
510.067749	-61.729553
511.413574	-61.147049
512.759399	-61.619530
514.105225	-60.839001
515.451050	-60.652897
516.796875	-61.630886
518.142700	-60.907265
519.488525	-59.775433
520.834351	-59.094986
522.180176	-59.130272
523.526001	-59.191868
524.871826	-59.106998
526.217651	-59.619087
527.563477	-58.925896
528.909302	-57.923000
530.255127	-58.044796
531.600952	-57.466618
532.946777	-57.135342
534.292603	-57.691986
535.638428	-58.021580
536.984253	-57.296745
538.330078	-57.020447
539.675903	-56.481937
541.021729	-57.207619
542.367554	-55.162426
543.713379	-54.997791
545.059204	-55.411060
546.405029	-54.760426
547.750854	-55.669006
549.096680	-55.062660
550.442505	-54.878834
551.788330	-54.972626
553.134155	-54.790611
554.479980	-55.207573
555.825806	-54.953274
557.171631	-54.934727
558.517456	-54.984409
559.863281	-54.759201
561.209106	-55.607075
562.554932	-55.371750
563.900757	-55.269009
565.246582	-55.766964
566.592407	-56.129189
567.938232	-56.332016
569.284058	-56.125572
570.629883	-57.169453
571.975708	-57.188263
573.321533	-57.149334
574.667358	-57.323933
576.013184	-58.269585
577.359009	-58.222263
578.704834	-58.220333
580.050659	-58.469425
581.396484	-58.778873
582.742310	-59.064568
584.088135	-59.084179
585.433960	-59.050827
586.779785	-59.348118
588.125610	-60.154995
589.471436	-60.304649
590.817261	-60.390450
592.163086	-61.067871
593.508911	-60.316597
594.854736	-60.620464
596.200562	-61.710224
597.546387	-61.499725
598.892212	-61.372467
600.238037	-62.484695
601.583862	-62.178360
602.929688	-62.236130
604.275513	-62.612148
605.621338	-62.467396
606.967163	-62.789883
608.312988	-61.833492
609.658813	-62.593990
611.004639	-63.655540
612.350464	-62.886227
613.696289	-62.842804
615.042114	-62.773655
616.387939	-61.974483
617.733765	-62.318611
619.079590	-63.151245
620.425415	-63.836117
621.771240	-63.567467
623.117065	-63.371868
624.462891	-62.984020
625.808716	-63.393494
627.154541	-63.273365
628.500366	-63.742481
629.846191	-64.204597
631.192017	-63.647110
632.537842	-63.741982
633.883667	-63.931385
635.229492	-64.690941
636.575317	-64.909531
637.921143	-65.557114
639.266968	-64.733673
640.612793	-64.359825
641.958618	-64.348991
643.304443	-64.097343
644.650269	-64.830368
645.996094	-65.410904
647.341919	-64.932396
648.687744	-64.345909
650.033569	-63.643291
651.379395	-64.013725
652.725220	-65.281776
654.071045	-66.205154
655.416870	-64.956955
656.762695	-64.369125
658.108521	-64.573120
659.454346	-64.696503
660.800171	-64.309219
662.145996	-64.509880
663.491821	-64.782028
664.837646	-64.978806
666.183472	-65.090042
667.529297	-65.358841
668.875122	-65.108711
670.220947	-64.953842
671.566772	-64.900696
672.912598	-65.292694
674.258423	-65.020195
675.604248	-65.571365
676.950073	-65.727287
678.295898	-65.340393
679.641724	-65.680099
680.987549	-65.220718
682.333374	-64.465332
683.679199	-64.955109
685.025024	-65.357170
686.370850	-65.373161
687.716675	-65.623734
689.062500	-65.900505
690.408325	-65.432106
691.754150	-64.786522
693.099976	-65.435883
694.445801	-65.072067
695.791626	-65.253288
697.137451	-65.295547
698.483276	-63.812664
699.829102	-64.535217
701.174927	-64.241196
702.520752	-64.888351
703.866577	-64.716209
705.212402	-64.091705
706.558228	-63.609158
707.904053	-64.792694
709.249878	-65.040504
710.595703	-64.994156
711.941528	-64.666084
713.287354	-64.855751
714.633179	-64.890358
715.979004	-64.210281
717.324829	-64.027031
718.670654	-64.088020
720.016479	-64.461586
721.362305	-63.619869
722.708130	-64.055511
724.053955	-63.822712
725.399780	-63.457867
726.745605	-64.462166
728.091431	-63.388912
729.437256	-62.903999
730.783081	-63.396317
732.128906	-63.104618
733.474731	-63.333393
734.820557	-62.968769
736.166382	-63.546803
737.512207	-62.929245
738.858032	-62.815460
740.203857	-62.684883
741.549683	-63.070362
742.895508	-63.323128
744.241333	-62.256737
745.587158	-61.913662
746.932983	-61.802570
748.278809	-62.391788
749.624634	-63.014523
750.970459	-61.115650
752.316284	-60.618404
753.662109	-61.013954
755.007935	-61.184212
756.353760	-61.815121
757.699585	-61.698555
759.045410	-61.504181
760.391235	-60.831280
761.737061	-60.331753
763.082886	-61.895409
764.428711	-60.848225
765.774536	-59.418903
767.120361	-59.210354
768.466187	-59.469536
769.812012	-59.607487
771.157837	-58.997585
772.503662	-58.750160
773.849487	-58.200687
775.195312	-58.674046
776.541138	-58.898647
777.886963	-58.482456
779.232788	-58.182083
780.578613	-57.385918
781.924438	-57.418282
783.270264	-57.401299
784.616089	-57.799812
785.961914	-56.933788
787.307739	-56.371784
788.653564	-55.744381
789.999390	-55.822853
791.345215	-55.632095
792.691040	-55.997314
794.036865	-55.549248
795.382690	-55.231770
796.728516	-55.711445
798.074341	-56.226490
799.420166	-56.563969
800.765991	-55.543797
802.111816	-55.346703
803.457642	-55.956089
804.803467	-55.109211
806.149292	-54.574982
807.495117	-55.016045
808.840942	-54.835274
810.186768	-55.068069
811.532593	-55.951077
812.878418	-55.716228
814.224243	-55.279133
815.570068	-55.101112
816.915894	-55.598209
818.261719	-55.658733
819.607544	-55.770382
820.953369	-55.400009
822.299194	-55.546223
823.645020	-55.914234
824.990845	-55.337646
826.336670	-54.803425
827.682495	-55.799690
829.028320	-56.310410
830.374146	-56.068409
831.719971	-56.648479
833.065796	-56.563004
834.411621	-55.676277
835.757446	-55.168465
837.103271	-55.971836
838.449097	-56.136768
839.794922	-55.817493
841.140747	-55.852947
842.486572	-56.291496
843.832397	-56.564156
845.178223	-55.773830
846.524048	-55.998184
847.869873	-56.095482
849.215698	-56.803909
850.561523	-57.378757
851.907349	-56.946239
853.253174	-56.711102
854.598999	-56.849380
855.944824	-57.058727
857.290649	-57.047115
858.636475	-56.640999
859.982300	-57.140331
861.328125	-58.493389
862.673950	-58.637672
864.019775	-58.107544
865.365601	-57.386166
866.711426	-57.391365
868.057251	-57.469822
869.403076	-57.750599
870.748901	-58.040630
872.094727	-57.863224
873.440552	-57.586597
874.786377	-58.184669
876.132202	-58.520798
877.478027	-59.074738
878.823853	-58.665321
880.169678	-59.702927
881.515503	-60.492123
882.861328	-59.799423
884.207153	-59.206856
885.552979	-59.669529
886.898804	-60.157654
888.244629	-59.751556
889.590454	-58.953506
890.936279	-60.355209
892.282104	-61.071995
893.627930	-60.689167
894.973755	-60.815720
896.319580	-60.504417
897.665405	-59.873100
899.011230	-60.527248
900.357056	-60.830997
901.702881	-60.989632
903.048706	-60.726089
904.394531	-61.314915
905.740356	-61.151867
907.086182	-61.131256
908.432007	-61.460712
909.777832	-61.995739
911.123657	-61.236744
912.469482	-61.449383
913.815308	-61.421192
915.161133	-61.668854
916.506958	-62.465771
917.852783	-62.181343
919.198608	-62.770458
920.544434	-62.012856
921.890259	-62.281979
923.236084	-63.047108
924.581909	-62.274818
925.927734	-62.542824
927.273560	-62.358089
928.619385	-61.684326
929.965210	-62.686077
931.311035	-62.320911
932.656860	-62.350430
934.002686	-62.446594
935.348511	-62.244263
936.694336	-62.220860
938.040161	-62.290600
939.385986	-63.006779
940.731812	-62.262810
942.077637	-61.880104
943.423462	-62.119106
944.769287	-62.611778
946.115112	-63.315578
947.460938	-62.943546
948.806763	-62.719608
950.152588	-62.531635
951.498413	-62.384247
952.844238	-63.127941
954.190063	-63.173687
955.535889	-62.956417
956.881714	-63.143074
958.227539	-63.269306
959.573364	-63.284561
960.919189	-62.906357
962.265015	-62.464531
963.610840	-62.928082
964.956665	-63.405525
966.302490	-62.763660
967.648315	-62.955536
968.994141	-62.439323
970.339966	-62.473724
971.685791	-62.391895
973.031616	-62.369781
974.377441	-61.203392
975.723267	-61.691753
977.069092	-63.113194
978.414917	-62.799278
979.760742	-62.776611
981.106567	-62.354225
982.452393	-62.599331
983.798218	-61.886230
985.144043	-61.169155
986.489868	-61.518116
987.835693	-62.982578
989.181519	-62.962879
990.527344	-62.644737
991.873169	-62.369942
993.218994	-61.008602
994.564819	-61.417427
995.910645	-61.924004
997.256470	-61.796597
998.602295	-61.048264
999.948120	-61.569244
1001.293945	-61.452965
1002.639771	-61.186119
1003.985596	-60.654160
1005.331421	-61.366627
1006.677246	-61.695137
1008.023071	-61.927296
1009.368896	-61.416595
1010.714722	-60.176346
1012.060547	-59.438843
1013.406372	-58.896961
1014.752197	-59.570942
1016.098022	-60.040253
1017.443848	-59.836498
1018.789673	-59.742001
1020.135498	-59.437119
1021.481323	-60.895115
1022.827148	-60.518257
1024.172974	-59.528042
1025.518799	-59.204926
1026.864624	-59.493149
1028.210449	-59.964741
1029.556274	-59.463184
1030.902100	-59.573627
1032.247925	-60.258999
1033.593750	-59.740231
1034.939575	-59.843521
1036.285400	-59.073139
1037.631226	-58.844551
1038.977051	-58.499126
1040.322876	-58.713078
1041.668701	-58.687977
1043.014526	-59.300346
1044.360352	-58.690701
1045.706177	-58.686893
1047.052002	-59.199806
1048.397827	-57.565540
1049.743652	-58.491577
1051.089478	-58.978706
1052.435303	-58.273479
1053.781128	-58.278103
1055.126953	-58.936680
1056.472778	-58.568916
1057.818604	-58.350121
1059.164429	-58.426105
1060.510254	-58.037182
1061.856079	-58.928520
1063.201904	-58.483974
1064.547729	-57.799080
1065.893555	-57.515175
1067.239380	-57.242840
1068.585205	-57.734974
1069.931030	-57.512226
1071.276855	-57.781960
1072.622681	-56.980549
1073.968506	-56.309563
1075.314331	-57.564938
1076.660156	-58.400997
1078.005981	-57.867264
1079.351807	-57.609467
1080.697632	-56.578876
1082.043457	-56.985653
1083.389282	-57.159389
1084.735107	-56.803196
1086.080933	-57.590343
1087.426758	-56.730232
1088.772583	-56.901554
1090.118408	-56.625721
1091.464233	-56.409885
1092.810059	-56.806480
1094.155884	-57.119923
1095.501709	-57.100281
1096.847534	-57.042583
1098.193359	-57.278622
1099.539185	-56.102802
1100.885010	-56.378819
1102.230835	-57.115814
1103.576660	-56.856838
1104.922485	-56.895561
1106.268311	-57.534180
1107.614136	-57.130486
1108.959961	-57.255543
1110.305786	-57.055058
1111.651611	-57.005623
1112.997437	-57.210182
1114.343262	-57.604538
1115.689087	-57.865051
1117.034912	-58.270672
1118.380737	-58.439278
1119.726562	-57.661076
1121.072388	-57.607883
1122.418213	-57.857250
1123.764038	-57.695633
1125.109863	-56.631886
1126.455688	-56.925453
1127.801514	-57.793930
1129.147339	-57.703129
1130.493164	-57.721012
1131.838989	-57.498394
1133.184814	-58.035286
1134.530640	-57.934444
1135.876465	-57.658077
1137.222290	-57.890484
1138.568115	-57.839668
1139.913940	-56.972092
1141.259766	-57.332878
1142.605591	-57.474972
1143.951416	-57.234505
1145.297241	-56.714699
1146.643066	-57.772861
1147.988892	-57.147419
1149.334717	-57.289173
1150.680542	-57.367382
1152.026367	-57.474731
1153.372192	-57.734966
1154.718018	-57.949318
1156.063843	-57.386257
1157.409668	-57.434181
1158.755493	-57.425472
1160.101318	-57.975010
1161.447144	-58.473068
1162.792969	-57.705070
1164.138794	-57.670815
1165.484619	-58.221088
1166.830444	-57.935719
1168.176270	-57.175812
1169.522095	-57.237534
1170.867920	-57.701439
1172.213745	-58.343056
1173.559570	-57.358044
1174.905396	-57.728878
1176.251221	-57.826847
1177.597046	-57.629807
1178.942871	-57.366104
1180.288696	-57.052917
1181.634521	-57.311886
1182.980347	-58.170212
1184.326172	-58.435284
1185.671997	-58.213875
1187.017822	-58.498821
1188.363647	-58.110004
1189.709473	-58.979427
1191.055298	-59.036884
1192.401123	-58.478737
1193.746948	-57.589008
1195.092773	-58.293400
1196.438599	-58.966568
1197.784424	-58.839466
1199.130249	-58.369690
1200.476074	-58.742794
1201.821899	-58.719227
1203.167725	-58.725506
1204.513550	-58.871822
1205.859375	-58.460152
1207.205200	-58.376423
1208.551025	-58.870132
1209.896851	-58.978596
1211.242676	-58.857445
1212.588501	-58.994118
1213.934326	-58.772709
1215.280151	-58.178837
1216.625977	-57.810753
1217.971802	-57.944164
1219.317627	-58.160072
1220.663452	-58.227142
1222.009277	-58.417007
1223.355103	-58.080875
1224.700928	-58.559101
1226.046753	-58.668118
1227.392578	-58.384659
1228.738403	-58.988373
1230.084229	-59.251045
1231.430054	-58.810680
1232.775879	-59.018879
1234.121704	-59.730724
1235.467529	-59.856663
1236.813354	-59.543934
1238.159180	-59.140232
1239.505005	-59.501900
1240.850830	-58.896553
1242.196655	-58.946720
1243.542480	-58.995728
1244.888306	-58.723511
1246.234131	-59.200436
1247.579956	-59.059219
1248.925781	-59.315529
1250.271606	-59.968029
1251.617432	-59.016178
1252.963257	-59.340187
1254.309082	-59.270042
1255.654907	-59.798855
1257.000732	-58.689579
1258.346558	-58.965858
1259.692383	-59.165569
1261.038208	-59.895794
1262.384033	-59.179073
1263.729858	-58.654369
1265.075684	-58.825966
1266.421509	-58.003010
1267.767334	-58.644783
1269.113159	-58.789909
1270.458984	-58.487804
1271.804810	-59.416534
1273.150635	-59.199249
1274.496460	-58.697021
1275.842285	-58.518703
1277.188110	-58.132866
1278.533936	-57.771912
1279.879761	-59.339375
1281.225586	-59.923405
1282.571411	-58.326675
1283.917236	-57.926193
1285.263062	-58.092957
1286.608887	-58.108585
1287.954712	-59.195484
1289.300537	-58.845940
1290.646362	-58.809311
1291.992188	-58.280830
1293.338013	-58.023144
1294.683838	-57.937279
1296.029663	-57.818913
1297.375488	-58.369610
1298.721313	-58.150120
1300.067139	-58.113842
1301.412964	-58.175873
1302.758789	-57.861618
1304.104614	-59.078876
1305.450439	-58.718456
1306.796265	-57.721592
1308.142090	-57.405392
1309.487915	-58.014175
1310.833740	-58.043530
1312.179565	-57.360615
1313.525391	-57.023720
1314.871216	-57.983994
1316.217041	-58.477539
1317.562866	-57.921822
