Frequency (Hz)	Level (dB)
1.345825	-113.162407
2.691650	-104.785645
4.037476	-100.657921
5.383301	-97.834328
6.729126	-94.660751
8.074951	-95.484505
9.420776	-92.800484
10.766602	-89.462646
12.112427	-88.250908
13.458252	-88.186546
14.804077	-88.402084
16.149902	-87.987846
17.495728	-86.780876
18.841553	-85.775436
20.187378	-85.138161
21.533203	-83.815941
22.879028	-83.391586
24.224854	-82.964569
25.570679	-82.473297
26.916504	-81.778412
28.262329	-81.138412
29.608154	-81.010239
30.953979	-81.785049
32.299805	-81.605690
33.645630	-81.061501
34.991455	-80.977257
36.337280	-80.580246
37.683105	-79.718826
39.028931	-79.520439
40.374756	-79.110268
41.720581	-78.895065
43.066406	-78.569031
44.412231	-78.204224
45.758057	-77.779816
47.103882	-77.991180
48.449707	-77.696648
49.795532	-78.419884
51.141357	-78.322075
52.487183	-77.705917
53.833008	-77.266212
55.178833	-76.699158
56.524658	-75.979820
57.870483	-76.474876
59.216309	-75.576401
60.562134	-75.471474
61.907959	-75.965393
63.253784	-74.573051
64.599609	-74.941017
65.945435	-75.723846
67.291260	-75.918617
68.637085	-75.976868
69.982910	-75.233185
71.328735	-75.449440
72.674561	-75.007484
74.020386	-75.142036
75.366211	-75.718605
76.712036	-74.601418
78.057861	-74.976555
79.403687	-75.544167
80.749512	-74.044395
82.095337	-73.540390
83.441162	-73.360764
84.786987	-73.695869
86.132812	-74.456673
87.478638	-74.515678
88.824463	-74.546051
90.170288	-74.074341
91.516113	-73.101227
92.861938	-72.851059
94.207764	-73.741707
95.553589	-74.530182
96.899414	-74.477837
98.245239	-73.911926
99.591064	-73.809540
100.936890	-73.805092
102.282715	-74.266159
103.628540	-74.009285
104.974365	-73.983238
106.320190	-73.987328
107.666016	-73.849907
109.011841	-73.691200
110.357666	-72.957306
111.703491	-73.156693
113.049316	-74.142044
114.395142	-74.076012
115.740967	-73.790031
117.086792	-73.188126
118.432617	-69.802620
119.778442	-71.404938
121.124268	-73.695709
122.470093	-73.625473
123.815918	-74.030418
125.161743	-74.238678
126.507568	-73.728317
127.853394	-74.059471
129.199219	-74.177811
130.545044	-73.517853
131.890869	-73.967117
133.236694	-72.700890
134.582520	-72.749123
135.928345	-73.050255
137.274170	-73.305855
138.619995	-73.548332
139.965820	-73.506744
141.311646	-73.422859
142.657471	-73.051750
144.003296	-73.472778
145.349121	-73.401169
146.694946	-74.134338
148.040771	-73.947617
149.386597	-72.975327
150.732422	-73.025085
152.078247	-72.686188
153.424072	-72.899055
154.769897	-72.680298
156.115723	-72.908073
157.461548	-73.170990
158.807373	-73.126175
160.153198	-72.280388
161.499023	-72.134926
162.844849	-72.617516
164.190674	-72.281021
165.536499	-71.899757
166.882324	-71.790321
168.228149	-72.180084
169.573975	-72.210625
170.919800	-71.577034
172.265625	-71.550049
173.611450	-71.353020
174.957275	-70.625656
176.303101	-71.586800
177.648926	-71.660744
178.994751	-71.544792
180.340576	-71.514893
181.686401	-70.834328
183.032227	-72.054611
184.378052	-72.149818
185.723877	-71.661102
187.069702	-71.113380
188.415527	-70.691925
189.761353	-70.947052
191.107178	-71.349396
192.453003	-70.713425
193.798828	-68.761963
195.144653	-69.129883
196.490479	-69.571114
197.836304	-69.845596
199.182129	-69.865021
200.527954	-68.739761
201.873779	-68.616890
203.219604	-69.369865
204.565430	-69.280830
205.911255	-69.160660
207.257080	-69.217865
208.602905	-68.818909
209.948730	-69.193680
211.294556	-68.668839
212.640381	-68.273193
213.986206	-68.125893
215.332031	-67.908241
216.677856	-67.630730
218.023682	-67.338287
219.369507	-67.033035
220.715332	-67.251137
222.061157	-67.539177
223.406982	-66.739395
224.752808	-66.035645
226.098633	-66.131599
227.444458	-66.022667
228.790283	-65.175407
230.136108	-65.475235
231.481934	-64.947693
232.827759	-64.666656
234.173584	-64.738976
235.519409	-63.779381
236.865234	-63.465282
238.211060	-63.688351
239.556885	-63.136616
240.902710	-62.229469
242.248535	-61.597031
243.594360	-62.446068
244.940186	-61.790836
246.286011	-61.851871
247.631836	-61.628376
248.977661	-61.123337
250.323486	-60.614422
251.669312	-60.255184
