Frequency (Hz)	Level (dB)
1.345825	-70.003250
2.691650	-70.797546
4.037476	-72.158913
5.383301	-74.129288
6.729126	-76.824020
8.074951	-80.014206
9.420776	-83.469818
10.766602	-84.801216
12.112427	-84.828583
13.458252	-85.617912
14.804077	-87.350548
16.149902	-87.561218
17.495728	-86.698471
18.841553	-86.623634
20.187378	-86.289429
21.533203	-85.756317
22.879028	-83.637253
24.224854	-83.884033
25.570679	-85.297508
26.916504	-84.987152
28.262329	-83.933258
29.608154	-84.509819
30.953979	-84.113045
32.299805	-83.720993
33.645630	-83.590569
34.991455	-82.428246
36.337280	-82.382057
37.683105	-81.901581
39.028931	-81.714539
40.374756	-81.046120
41.720581	-80.794426
43.066406	-80.259392
44.412231	-79.433090
45.758057	-78.792511
47.103882	-77.789871
48.449707	-77.743980
49.795532	-77.208794
51.141357	-76.904045
52.487183	-76.801155
53.833008	-75.947906
55.178833	-75.399025
56.524658	-75.349258
57.870483	-73.539246
59.216309	-73.413368
60.562134	-73.905830
61.907959	-73.671692
63.253784	-73.221657
64.599609	-73.192131
65.945435	-73.149216
67.291260	-72.774063
68.637085	-72.737122
69.982910	-72.171127
71.328735	-71.526634
72.674561	-71.500786
74.020386	-71.537453
75.366211	-71.104820
76.712036	-70.861069
78.057861	-70.860626
79.403687	-70.343735
80.749512	-69.614883
82.095337	-69.630402
83.441162	-68.873238
84.786987	-69.139145
86.132812	-69.561287
87.478638	-69.110039
88.824463	-67.934288
90.170288	-68.407982
91.516113	-68.900002
92.861938	-68.531601
94.207764	-68.788567
95.553589	-69.034325
96.899414	-68.880554
98.245239	-68.656601
99.591064	-68.659370
100.936890	-68.723671
102.282715	-68.646530
103.628540	-68.670647
104.974365	-68.756233
106.320190	-68.700630
107.666016	-68.707474
109.011841	-68.776810
110.357666	-68.813667
111.703491	-68.844887
113.049316	-68.778053
114.395142	-68.801193
115.740967	-68.944061
117.086792	-67.734627
118.432617	-64.466072
119.778442	-66.646568
121.124268	-69.108360
122.470093	-69.261688
123.815918	-69.534958
125.161743	-69.370033
126.507568	-69.465172
127.853394	-69.610596
129.199219	-69.705887
130.545044	-69.719543
131.890869	-69.865852
133.236694	-70.032875
134.582520	-70.115395
135.928345	-70.236076
137.274170	-70.320824
138.619995	-70.287407
139.965820	-70.479881
141.311646	-70.490929
142.657471	-70.270386
144.003296	-70.392265
145.349121	-70.440933
146.694946	-70.365562
148.040771	-70.468376
149.386597	-70.509216
150.732422	-70.310699
152.078247	-70.300964
153.424072	-70.189644
154.769897	-70.051056
156.115723	-69.901741
157.461548	-69.875809
158.807373	-69.651382
160.153198	-69.401154
161.499023	-69.316681
162.844849	-69.121132
164.190674	-68.761208
165.536499	-68.601341
166.882324	-68.415573
168.228149	-68.259102
169.573975	-67.969742
170.919800	-67.787727
172.265625	-67.641533
173.611450	-67.404076
174.957275	-67.162720
176.303101	-66.872726
177.648926	-66.620323
178.994751	-66.443718
180.340576	-66.305733
181.686401	-66.086594
183.032227	-65.863876
184.378052	-65.671089
185.723877	-65.465660
187.069702	-65.284531
188.415527	-65.123787
189.761353	-64.941330
191.107178	-64.741989
192.453003	-64.540947
193.798828	-64.345657
195.144653	-64.219452
196.490479	-64.107590
197.836304	-63.954411
199.182129	-63.788776
200.527954	-63.632713
201.873779	-63.501064
203.219604	-63.383160
204.565430	-63.241356
205.911255	-63.116879
207.257080	-63.014832
208.602905	-62.898899
209.948730	-62.779400
211.294556	-62.641247
212.640381	-62.516644
213.986206	-62.401882
215.332031	-62.310036
216.677856	-62.232281
218.023682	-62.134373
219.369507	-62.014011
220.715332	-61.923435
222.061157	-61.852188
223.406982	-61.734982
224.752808	-61.612885
226.098633	-61.483700
227.444458	-61.384590
228.790283	-61.298046
230.136108	-61.162018
231.481934	-61.006886
232.827759	-60.880348
234.173584	-60.778877
235.519409	-60.557259
236.865234	-60.306343
238.211060	-60.157703
239.556885	-59.965000
240.902710	-59.800121
242.248535	-59.526806
243.594360	-59.266754
244.940186	-58.966568
246.286011	-58.637337
247.631836	-58.274548
248.977661	-57.817768
250.323486	-57.461739
251.669312	-57.030403
253.015137	-56.544178
254.360962	-56.070744
255.706787	-55.522606
257.052612	-54.989891
258.398438	-54.490501
259.744263	-53.942696
261.090088	-53.308140
262.435913	-52.757042
263.781738	-52.195015
265.127563	-51.605160
266.473389	-51.117928
267.819214	-50.670227
269.165039	-50.261024
270.510864	-49.910595
271.856689	-49.651184
273.202515	-49.466919
274.548340	-49.397438
275.894165	-49.401882
277.239990	-49.486828
278.585815	-49.620720
279.931641	-49.798264
281.277466	-50.091103
282.623291	-50.385143
283.969116	-50.653587
285.314941	-50.979622
286.660767	-51.326797
288.006592	-51.653576
289.352417	-52.008183
290.698242	-52.370407
292.044067	-52.709492
293.389893	-53.052387
294.735718	-53.391407
296.081543	-53.698917
297.427368	-54.008350
298.773193	-54.368118
300.119019	-54.704700
301.464844	-54.997326
302.810669	-55.326588
304.156494	-55.670280
305.502319	-55.986145
306.848145	-56.298973
308.193970	-56.616165
309.539795	-56.915318
310.885620	-57.224041
312.231445	-57.573204
313.577271	-57.905148
314.923096	-58.182854
316.268921	-58.483879
317.614746	-58.802452
318.960571	-59.095455
320.306396	-59.412998
321.652222	-59.719818
322.998047	-60.042320
324.343872	-60.342453
325.689697	-60.610798
327.035522	-60.908031
328.381348	-61.197868
329.727173	-61.520386
331.072998	-61.783646
332.418823	-62.040577
333.764648	-62.334248
335.110474	-62.627136
336.456299	-62.837135
337.802124	-63.032673
339.147949	-63.292019
340.493774	-63.464607
341.839600	-63.699547
343.185425	-63.849327
344.531250	-63.999992
345.877075	-64.145599
347.222900	-64.287369
348.568726	-64.338890
349.914551	-64.450584
351.260376	-64.519440
352.606201	-64.569557
353.952026	-64.516579
355.297852	-64.596886
356.643677	-64.584305
357.989502	-64.533218
359.335327	-64.510429
360.681152	-64.413925
362.026978	-64.437111
363.372803	-64.371094
364.718628	-64.260773
366.064453	-64.190918
367.410278	-64.150475
368.756104	-64.120163
370.101929	-64.050117
371.447754	-63.914219
372.793579	-63.821350
374.139404	-63.752682
375.485229	-63.686314
376.831055	-63.612934
378.176880	-63.551296
379.522705	-63.470890
380.868530	-63.395313
382.214355	-63.351086
383.560181	-63.311932
384.906006	-63.253334
386.251831	-63.214317
387.597656	-63.168922
388.943481	-63.128529
390.289307	-63.114403
391.635132	-63.108105
392.980957	-63.088749
394.326782	-63.065407
395.672607	-63.067425
397.018433	-63.065613
398.364258	-63.054379
399.710083	-63.080727
401.055908	-63.112114
402.401733	-63.107491
403.747559	-63.120987
405.093384	-63.179379
406.439209	-63.242447
407.785034	-63.293072
409.130859	-63.326599
410.476685	-63.362293
411.822510	-63.398315
413.168335	-63.478573
414.514160	-63.552147
415.859985	-63.612377
417.205811	-63.709736
418.551636	-63.782856
419.897461	-63.893341
421.243286	-63.981400
422.589111	-64.091042
423.934937	-64.157669
425.280762	-64.259689
426.626587	-64.383202
427.972412	-64.452614
429.318237	-64.613426
430.664062	-64.655899
432.009888	-64.677124
433.355713	-64.787384
434.701538	-64.864937
436.047363	-64.932068
437.393188	-65.011314
438.739014	-65.006897
440.084839	-65.043640
441.430664	-64.967049
442.776489	-65.081909
444.122314	-64.978897
445.468140	-65.014778
446.813965	-64.951004
448.159790	-64.830353
449.505615	-64.766830
450.851440	-64.615028
452.197266	-64.541382
453.543091	-64.351006
454.888916	-64.271370
456.234741	-64.031288
457.580566	-63.879414
458.926392	-63.660515
460.272217	-63.536480
461.618042	-63.312084
462.963867	-63.137909
464.309692	-62.884377
465.655518	-62.698868
467.001343	-62.468838
468.347168	-62.271366
469.692993	-62.061398
471.038818	-61.860825
472.384644	-61.621712
473.730469	-61.387241
475.076294	-61.200146
476.422119	-61.027760
477.767944	-60.829662
479.113770	-60.626457
480.459595	-60.440231
481.805420	-60.265415
483.151245	-60.081429
484.497070	-59.904568
485.842896	-59.733871
487.188721	-59.572365
488.534546	-59.436897
489.880371	-59.287518
491.226196	-59.132046
492.572021	-58.999653
493.917847	-58.869259
495.263672	-58.750069
496.609497	-58.639011
497.955322	-58.519833
499.301147	-58.396683
500.646973	-58.275856
501.992798	-58.167988
503.338623	-58.082783
504.684448	-58.003284
506.030273	-57.910770
507.376099	-57.828140
508.721924	-57.748375
510.067749	-57.653290
511.413574	-57.577785
512.759399	-57.521366
514.105225	-57.449242
515.451050	-57.369957
516.796875	-57.299625
518.142700	-57.240814
519.488525	-57.187592
520.834351	-57.125336
522.180176	-57.052998
523.526001	-56.965946
524.871826	-56.897781
526.217651	-56.815147
527.563477	-56.732632
528.909302	-56.652279
530.255127	-56.558681
531.600952	-56.440372
532.946777	-56.312134
534.292603	-56.172421
535.638428	-56.037460
536.984253	-55.870811
538.330078	-55.706169
539.675903	-55.504807
541.021729	-55.292614
542.367554	-55.063198
543.713379	-54.809990
545.059204	-54.555172
546.405029	-54.290081
547.750854	-53.987213
549.096680	-53.685539
550.442505	-53.385880
551.788330	-53.065205
553.134155	-52.754440
554.479980	-52.437206
555.825806	-52.135891
557.171631	-51.859234
558.517456	-51.611633
559.863281	-51.381882
561.209106	-51.179985
562.554932	-51.024719
563.900757	-50.886894
565.246582	-50.798641
566.592407	-50.738884
567.938232	-50.715363
569.284058	-50.735355
570.629883	-50.779392
571.975708	-50.851223
