Frequency (Hz)	Level (dB)
1.345825	-111.975624
2.691650	-102.934990
4.037476	-98.762863
5.383301	-96.197258
6.729126	-94.582916
8.074951	-95.837830
9.420776	-93.546021
10.766602	-88.419479
12.112427	-87.382874
13.458252	-88.804268
14.804077	-89.885979
16.149902	-88.517059
17.495728	-86.356987
18.841553	-85.352043
20.187378	-86.661819
21.533203	-85.503334
22.879028	-83.521713
24.224854	-83.307457
25.570679	-83.423103
26.916504	-83.918510
28.262329	-83.531349
29.608154	-83.228386
30.953979	-84.206764
32.299805	-84.076485
33.645630	-83.442375
34.991455	-83.237144
36.337280	-82.889610
37.683105	-82.796768
39.028931	-82.616669
40.374756	-82.542099
41.720581	-82.121002
43.066406	-81.705444
44.412231	-82.160461
45.758057	-81.061859
47.103882	-81.449677
48.449707	-80.641823
49.795532	-80.040955
51.141357	-80.309738
52.487183	-81.050163
53.833008	-80.842133
55.178833	-79.544785
56.524658	-78.751701
57.870483	-78.579636
59.216309	-78.971512
60.562134	-78.790924
61.907959	-78.922844
63.253784	-78.918831
64.599609	-80.379524
65.945435	-80.446205
67.291260	-80.076218
68.637085	-79.940720
69.982910	-79.630516
71.328735	-80.329216
72.674561	-79.999176
74.020386	-79.199654
75.366211	-78.517181
76.712036	-77.961700
78.057861	-77.650467
79.403687	-77.960464
80.749512	-75.682800
82.095337	-72.361786
83.441162	-73.838005
84.786987	-74.997978
86.132812	-76.316704
87.478638	-76.180473
88.824463	-75.125870
90.170288	-75.590164
91.516113	-73.657310
92.861938	-70.998344
94.207764	-72.627838
95.553589	-78.016678
96.899414	-79.037285
98.245239	-79.569611
99.591064	-78.837303
100.936890	-78.064865
102.282715	-78.212639
103.628540	-78.136559
104.974365	-78.888763
106.320190	-78.392479
107.666016	-77.966148
109.011841	-78.672943
110.357666	-79.192947
111.703491	-79.633453
113.049316	-78.730919
114.395142	-78.187019
115.740967	-77.794449
117.086792	-74.528656
118.432617	-67.508499
119.778442	-69.384850
121.124268	-75.637192
122.470093	-75.444916
123.815918	-76.826447
125.161743	-78.896194
126.507568	-79.096146
127.853394	-79.113670
129.199219	-78.078987
130.545044	-78.184532
131.890869	-77.756210
133.236694	-77.378975
134.582520	-77.895180
135.928345	-77.779991
137.274170	-77.895073
138.619995	-77.984390
139.965820	-77.332283
141.311646	-77.438065
142.657471	-77.822823
144.003296	-78.203926
145.349121	-77.953278
146.694946	-77.568542
148.040771	-77.518394
149.386597	-78.225533
150.732422	-77.248657
152.078247	-76.340576
153.424072	-77.624680
154.769897	-78.748970
156.115723	-77.810211
157.461548	-77.011116
158.807373	-77.229256
160.153198	-77.571671
161.499023	-77.483521
162.844849	-77.159523
164.190674	-76.956841
165.536499	-77.060020
166.882324	-77.372284
168.228149	-76.545662
169.573975	-76.388092
170.919800	-77.118759
172.265625	-76.606422
173.611450	-77.028404
174.957275	-77.017036
176.303101	-76.626099
177.648926	-76.029915
178.994751	-75.109543
180.340576	-75.480179
181.686401	-75.792397
183.032227	-75.382896
184.378052	-75.252541
185.723877	-75.941040
187.069702	-75.307343
188.415527	-75.423019
189.761353	-75.515816
191.107178	-75.595924
192.453003	-75.361122
193.798828	-74.956505
195.144653	-74.757690
196.490479	-74.505402
197.836304	-74.814575
199.182129	-74.102959
200.527954	-74.049065
201.873779	-73.863327
203.219604	-73.755348
204.565430	-73.036743
205.911255	-72.768204
207.257080	-73.434860
208.602905	-73.960144
209.948730	-73.370842
211.294556	-73.337158
212.640381	-73.101295
213.986206	-72.576607
215.332031	-72.295937
216.677856	-72.739182
218.023682	-72.529922
219.369507	-72.183136
220.715332	-71.595825
222.061157	-72.071960
223.406982	-70.502159
224.752808	-70.916229
226.098633	-71.031654
227.444458	-70.294067
228.790283	-69.666397
230.136108	-69.426125
231.481934	-69.250656
232.827759	-69.444237
234.173584	-69.439560
235.519409	-69.139847
236.865234	-68.279938
238.211060	-67.941109
239.556885	-68.678360
240.902710	-68.017746
242.248535	-67.829552
243.594360	-67.091599
244.940186	-66.360771
246.286011	-66.190338
247.631836	-65.616531
248.977661	-65.978470
250.323486	-66.123917
251.669312	-65.314529
253.015137	-64.707268
254.360962	-63.723610
255.706787	-63.565926
257.052612	-64.287766
258.398438	-63.920784
259.744263	-62.889599
261.090088	-61.962769
262.435913	-61.499512
263.781738	-61.618484
265.127563	-60.407421
266.473389	-60.290539
267.819214	-59.336456
269.165039	-59.002327
270.510864	-60.288193
271.856689	-60.381851
273.202515	-59.607941
274.548340	-59.458172
275.894165	-59.277107
277.239990	-59.705688
278.585815	-59.124298
279.931641	-59.468674
281.277466	-60.295845
282.623291	-60.957844
283.969116	-60.926025
285.314941	-61.638023
286.660767	-61.943085
288.006592	-62.561550
289.352417	-63.054375
290.698242	-63.221947
292.044067	-63.161926
293.389893	-62.773533
294.735718	-62.815170
296.081543	-64.271446
297.427368	-65.124947
298.773193	-64.510071
300.119019	-64.901764
301.464844	-66.576942
302.810669	-66.068275
304.156494	-66.121140
305.502319	-67.005913
306.848145	-67.408554
308.193970	-66.626122
309.539795	-67.283264
310.885620	-67.934616
312.231445	-68.006073
313.577271	-68.351044
314.923096	-69.264275
316.268921	-68.847229
317.614746	-69.379669
318.960571	-69.093483
320.306396	-68.771408
321.652222	-68.802979
322.998047	-69.096596
324.343872	-70.518562
325.689697	-70.757637
327.035522	-70.984398
328.381348	-71.912842
329.727173	-71.153053
331.072998	-70.209503
332.418823	-70.945786
333.764648	-70.942848
335.110474	-71.341393
336.456299	-70.940376
337.802124	-70.960960
339.147949	-71.555504
340.493774	-71.458954
341.839600	-71.463715
343.185425	-71.186646
344.531250	-71.824005
345.877075	-72.249779
347.222900	-72.310059
348.568726	-71.286873
349.914551	-71.783607
351.260376	-71.538521
352.606201	-71.114563
353.952026	-72.100670
355.297852	-72.229721
356.643677	-72.066582
357.989502	-72.760681
359.335327	-72.240761
360.681152	-72.507401
362.026978	-72.855789
363.372803	-73.416176
364.718628	-73.603706
366.064453	-72.926544
367.410278	-72.688866
368.756104	-72.165955
370.101929	-72.804932
371.447754	-73.973106
372.793579	-73.268913
374.139404	-72.752861
375.485229	-73.354248
376.831055	-74.181435
378.176880	-72.943977
379.522705	-72.779617
380.868530	-72.311768
382.214355	-72.808182
383.560181	-73.293640
384.906006	-73.548035
386.251831	-74.424622
387.597656	-74.246765
388.943481	-73.848824
390.289307	-74.294373
391.635132	-74.315247
392.980957	-73.892044
394.326782	-73.966324
395.672607	-73.800842
397.018433	-73.435921
398.364258	-73.331474
399.710083	-73.300484
401.055908	-72.904175
402.401733	-72.834320
403.747559	-72.880936
405.093384	-73.037209
406.439209	-73.608078
407.785034	-73.448410
409.130859	-73.748924
410.476685	-74.331528
411.822510	-73.636360
413.168335	-73.843086
414.514160	-75.108757
415.859985	-73.788071
417.205811	-73.383965
418.551636	-73.996086
419.897461	-74.235718
421.243286	-73.483322
422.589111	-72.613335
423.934937	-73.469841
425.280762	-73.892342
426.626587	-72.737549
427.972412	-73.137962
429.318237	-74.027580
430.664062	-73.088066
432.009888	-72.441040
433.355713	-72.628433
434.701538	-72.777840
436.047363	-72.576805
437.393188	-72.792526
438.739014	-72.804070
440.084839	-72.674248
441.430664	-72.837784
442.776489	-73.030746
444.122314	-72.854660
445.468140	-72.520050
446.813965	-72.347855
448.159790	-72.353699
449.505615	-72.589027
450.851440	-72.658890
452.197266	-72.621460
453.543091	-71.047592
454.888916	-71.409348
456.234741	-71.366150
457.580566	-72.037506
458.926392	-71.723778
460.272217	-71.192497
461.618042	-71.363327
462.963867	-71.743546
464.309692	-71.715889
465.655518	-71.566780
467.001343	-71.743263
468.347168	-71.944511
469.692993	-70.985107
471.038818	-71.548889
472.384644	-71.001244
473.730469	-70.648697
475.076294	-70.371811
476.422119	-70.646156
477.767944	-70.555679
479.113770	-70.377365
480.459595	-70.894203
481.805420	-71.079018
483.151245	-70.939072
484.497070	-69.452263
485.842896	-69.795250
487.188721	-69.580383
488.534546	-68.856392
489.880371	-69.418709
491.226196	-69.785301
492.572021	-69.990906
493.917847	-71.096413
495.263672	-69.675270
496.609497	-68.751678
497.955322	-70.027214
499.301147	-69.492683
500.646973	-68.759178
501.992798	-68.558022
503.338623	-69.450104
504.684448	-69.284927
506.030273	-67.795013
507.376099	-68.043571
508.721924	-68.097557
510.067749	-68.150879
511.413574	-67.842758
512.759399	-67.769775
514.105225	-66.784203
515.451050	-66.602463
516.796875	-66.482391
518.142700	-67.023781
519.488525	-66.871605
520.834351	-66.919724
522.180176	-66.622772
523.526001	-65.760574
524.871826	-65.484985
526.217651	-64.745056
527.563477	-64.581429
528.909302	-64.817116
530.255127	-64.403366
531.600952	-64.670807
532.946777	-64.681114
534.292603	-64.915489
535.638428	-64.203995
536.984253	-62.903515
538.330078	-62.827587
539.675903	-63.412125
541.021729	-63.744987
542.367554	-63.318810
543.713379	-63.163971
545.059204	-61.971058
546.405029	-61.603210
547.750854	-61.982632
549.096680	-62.072758
550.442505	-61.078133
551.788330	-60.848473
553.134155	-60.820885
554.479980	-60.122925
555.825806	-59.490711
557.171631	-59.696575
558.517456	-60.921799
559.863281	-60.542564
561.209106	-60.051655
562.554932	-60.579933
563.900757	-60.268417
565.246582	-60.886620
566.592407	-60.327827
567.938232	-59.774040
569.284058	-59.868809
570.629883	-60.812851
571.975708	-60.769287
573.321533	-60.034523
574.667358	-60.739044
576.013184	-61.676655
577.359009	-61.699589
578.704834	-62.799957
580.050659	-62.390476
581.396484	-62.020481
582.742310	-62.730583
584.088135	-62.825836
585.433960	-62.521240
586.779785	-63.071903
588.125610	-63.701622
589.471436	-64.497833
590.817261	-64.964249
592.163086	-64.670456
593.508911	-64.346252
594.854736	-63.795540
596.200562	-64.631439
597.546387	-65.558517
598.892212	-65.793015
600.238037	-65.398277
601.583862	-65.844826
602.929688	-65.170830
604.275513	-65.482880
605.621338	-66.580093
606.967163	-67.018051
608.312988	-66.374863
609.658813	-66.124229
611.004639	-67.053307
612.350464	-66.784599
613.696289	-67.433884
615.042114	-67.994316
616.387939	-67.282616
617.733765	-67.857643
619.079590	-67.115952
620.425415	-67.705040
621.771240	-67.687874
623.117065	-68.053940
624.462891	-69.133568
625.808716	-68.552940
627.154541	-67.939453
628.500366	-67.993912
629.846191	-68.056709
631.192017	-68.252899
632.537842	-68.172913
633.883667	-68.100624
635.229492	-68.024460
636.575317	-68.569977
637.921143	-68.518669
639.266968	-68.570274
640.612793	-68.577629
641.958618	-69.075127
643.304443	-68.608437
644.650269	-68.499001
645.996094	-69.147148
647.341919	-68.726379
648.687744	-69.088890
650.033569	-69.976799
651.379395	-69.361595
652.725220	-69.712296
654.071045	-69.687187
655.416870	-69.982254
656.762695	-69.413315
658.108521	-69.482040
659.454346	-70.045876
660.800171	-70.324455
662.145996	-70.050713
663.491821	-70.139214
664.837646	-70.731667
666.183472	-70.244743
667.529297	-69.812386
668.875122	-69.658859
670.220947	-70.253708
671.566772	-70.281425
672.912598	-70.576607
674.258423	-69.398453
675.604248	-69.338516
676.950073	-70.082794
678.295898	-69.975845
679.641724	-69.292839
680.987549	-69.585480
682.333374	-69.769691
683.679199	-70.383850
685.025024	-70.771210
686.370850	-70.552559
687.716675	-70.942413
689.062500	-71.379448
690.408325	-70.073517
691.754150	-69.496895
693.099976	-70.437614
694.445801	-70.437248
695.791626	-70.734077
697.137451	-70.546341
698.483276	-69.735397
699.829102	-69.622482
701.174927	-70.169319
702.520752	-70.331169
703.866577	-70.192863
705.212402	-70.155220
706.558228	-70.460876
707.904053	-70.762207
709.249878	-70.243164
710.595703	-69.785919
711.941528	-69.928741
713.287354	-70.749825
714.633179	-70.508858
715.979004	-70.129677
717.324829	-70.094070
718.670654	-70.121399
720.016479	-70.431229
721.362305	-70.573463
722.708130	-70.025833
724.053955	-70.551308
725.399780	-70.600838
726.745605	-70.078522
728.091431	-69.458366
729.437256	-69.580963
730.783081	-69.885666
732.128906	-69.443642
733.474731	-68.852196
734.820557	-68.559196
736.166382	-69.042229
737.512207	-69.088860
738.858032	-68.833694
740.203857	-69.075638
741.549683	-68.923492
742.895508	-68.591110
744.241333	-68.711563
745.587158	-69.122543
746.932983	-68.097168
748.278809	-67.870178
749.624634	-67.773407
750.970459	-67.373955
752.316284	-68.132462
753.662109	-68.336517
755.007935	-67.317871
756.353760	-67.516830
757.699585	-67.398468
759.045410	-67.190346
760.391235	-67.474770
761.737061	-66.746780
763.082886	-66.641792
764.428711	-65.978653
765.774536	-66.242668
767.120361	-65.843933
768.466187	-65.863586
769.812012	-65.542953
771.157837	-66.072006
772.503662	-66.499619
773.849487	-66.316437
775.195312	-65.619835
776.541138	-64.779518
777.886963	-64.633820
779.232788	-65.010933
780.578613	-65.269806
781.924438	-65.101364
783.270264	-64.218552
784.616089	-64.161224
785.961914	-63.811161
787.307739	-63.897999
788.653564	-63.593395
789.999390	-62.903271
791.345215	-64.039330
792.691040	-63.140217
794.036865	-62.679852
795.382690	-62.325050
796.728516	-62.449574
798.074341	-62.430099
799.420166	-61.836567
800.765991	-62.108135
802.111816	-61.860962
803.457642	-61.081982
804.803467	-61.480492
806.149292	-61.512089
807.495117	-60.946247
808.840942	-60.626057
810.186768	-60.480385
811.532593	-61.206638
812.878418	-60.527351
814.224243	-60.259266
815.570068	-60.856056
816.915894	-60.284695
818.261719	-60.652256
819.607544	-61.353413
820.953369	-60.075367
822.299194	-59.331310
823.645020	-60.374580
824.990845	-60.390167
826.336670	-60.305416
827.682495	-60.148582
829.028320	-60.387630
830.374146	-60.567276
831.719971	-60.900631
833.065796	-60.980659
834.411621	-60.803524
835.757446	-60.751179
837.103271	-60.865376
838.449097	-61.595947
839.794922	-61.274498
841.140747	-60.638645
842.486572	-61.271812
843.832397	-60.988899
845.178223	-60.925198
846.524048	-60.909912
847.869873	-61.068913
849.215698	-61.388771
850.561523	-61.308304
851.907349	-61.615387
853.253174	-61.788151
854.598999	-61.093853
