Frequency (Hz)	Level (dB)
1.345825	-52.034439
2.691650	-55.430077
4.037476	-58.018978
5.383301	-60.474064
6.729126	-62.068851
8.074951	-64.667427
9.420776	-66.525833
10.766602	-67.854332
12.112427	-68.608948
13.458252	-69.369537
14.804077	-69.645561
16.149902	-70.018990
17.495728	-70.608627
18.841553	-71.195221
20.187378	-72.401131
21.533203	-73.603149
22.879028	-73.694878
24.224854	-74.272598
25.570679	-74.875328
26.916504	-74.719917
28.262329	-75.066101
29.608154	-75.400513
30.953979	-76.144333
32.299805	-76.398994
33.645630	-76.767693
34.991455	-76.882088
36.337280	-76.854683
37.683105	-77.009422
39.028931	-77.128212
40.374756	-77.080215
41.720581	-77.288132
43.066406	-77.391151
44.412231	-77.325752
45.758057	-77.380173
47.103882	-77.179192
48.449707	-76.705521
49.795532	-76.343391
51.141357	-76.107849
52.487183	-76.008904
53.833008	-75.276810
55.178833	-74.640602
56.524658	-74.001350
57.870483	-72.836731
59.216309	-71.373245
60.562134	-71.758766
61.907959	-71.166702
63.253784	-71.201271
64.599609	-71.230415
65.945435	-71.231789
67.291260	-70.691292
68.637085	-70.205971
69.982910	-69.767723
71.328735	-69.508980
72.674561	-69.085495
74.020386	-68.105530
75.366211	-67.020966
76.712036	-66.775856
78.057861	-66.583939
79.403687	-65.095131
80.749512	-63.154140
82.095337	-61.911896
83.441162	-58.478569
84.786987	-59.093876
86.132812	-60.580738
87.478638	-62.209030
88.824463	-61.690762
90.170288	-62.409370
91.516113	-60.662987
92.861938	-57.314995
94.207764	-58.748013
95.553589	-61.956825
96.899414	-62.239540
98.245239	-61.789642
99.591064	-61.481197
100.936890	-61.152710
102.282715	-60.613716
103.628540	-60.120750
104.974365	-59.555435
106.320190	-59.010117
107.666016	-58.529995
109.011841	-57.824928
110.357666	-57.037136
111.703491	-56.456966
113.049316	-55.821198
114.395142	-55.023205
115.740967	-54.138294
117.086792	-51.208633
118.432617	-44.570576
119.778442	-46.554642
121.124268	-50.220821
122.470093	-50.327888
123.815918	-50.132374
125.161743	-49.562267
126.507568	-49.225586
127.853394	-49.358410
129.199219	-49.768909
130.545044	-50.084526
131.890869	-50.818077
133.236694	-51.772663
134.582520	-52.629696
135.928345	-53.467007
137.274170	-54.229713
138.619995	-54.989029
139.965820	-55.697044
141.311646	-56.506565
142.657471	-57.140961
144.003296	-57.611355
145.349121	-58.102062
146.694946	-58.727276
148.040771	-59.279949
149.386597	-59.630577
150.732422	-60.045181
152.078247	-60.420170
153.424072	-60.645950
154.769897	-60.933052
156.115723	-61.129761
157.461548	-61.164188
158.807373	-61.380108
160.153198	-61.621162
161.499023	-61.658054
162.844849	-61.767696
164.190674	-61.745636
165.536499	-61.825565
166.882324	-61.849571
168.228149	-61.834133
169.573975	-61.851643
170.919800	-61.864002
172.265625	-61.832481
173.611450	-61.876572
174.957275	-61.866066
176.303101	-61.773754
177.648926	-61.687332
178.994751	-61.632675
180.340576	-61.610287
181.686401	-61.574253
183.032227	-61.537258
184.378052	-61.491135
185.723877	-61.417957
187.069702	-61.359898
188.415527	-61.255020
189.761353	-61.152756
191.107178	-61.085316
192.453003	-61.009785
193.798828	-60.940109
195.144653	-60.878941
196.490479	-60.830341
197.836304	-60.793289
199.182129	-60.691273
200.527954	-60.584293
201.873779	-60.512768
203.219604	-60.416431
204.565430	-60.337742
205.911255	-60.302696
207.257080	-60.224148
208.602905	-60.100231
209.948730	-60.021061
211.294556	-59.956314
212.640381	-59.859943
213.986206	-59.788635
215.332031	-59.682137
216.677856	-59.576283
218.023682	-59.487293
219.369507	-59.341125
220.715332	-59.206974
222.061157	-59.094429
223.406982	-58.946571
224.752808	-58.811375
226.098633	-58.648422
227.444458	-58.519814
228.790283	-58.315498
230.136108	-58.138680
231.481934	-57.875191
232.827759	-57.650490
234.173584	-57.359219
235.519409	-57.132690
236.865234	-56.724026
238.211060	-56.377647
239.556885	-56.089939
240.902710	-55.624073
242.248535	-55.184631
243.594360	-54.695835
244.940186	-54.153763
246.286011	-53.561855
247.631836	-52.958328
248.977661	-52.327442
250.323486	-51.695015
251.669312	-51.037937
253.015137	-50.452209
254.360962	-49.971840
255.706787	-49.583485
257.052612	-49.361263
258.398438	-49.287849
259.744263	-49.406284
261.090088	-49.646828
262.435913	-49.991013
263.781738	-50.437645
265.127563	-50.862778
266.473389	-51.343517
267.819214	-51.845882
269.165039	-52.327183
270.510864	-52.778553
271.856689	-53.230343
273.202515	-53.622356
274.548340	-54.013466
275.894165	-54.382393
277.239990	-54.758015
278.585815	-55.095829
279.931641	-55.374916
281.277466	-55.675991
282.623291	-55.984406
283.969116	-56.247326
285.314941	-56.474770
286.660767	-56.690514
288.006592	-56.905472
289.352417	-57.089760
290.698242	-57.245686
292.044067	-57.408394
293.389893	-57.547623
294.735718	-57.623398
296.081543	-57.669281
297.427368	-57.713226
298.773193	-57.768871
300.119019	-57.807304
301.464844	-57.833466
302.810669	-57.872051
304.156494	-57.919254
305.502319	-58.002750
306.848145	-58.112770
308.193970	-58.242733
309.539795	-58.374046
310.885620	-58.530628
312.231445	-58.725445
313.577271	-58.878250
314.923096	-59.013668
316.268921	-59.174801
317.614746	-59.318726
318.960571	-59.454102
320.306396	-59.580299
321.652222	-59.727375
322.998047	-59.856396
324.343872	-59.951859
325.689697	-60.063637
327.035522	-60.167027
328.381348	-60.260605
329.727173	-60.303047
331.072998	-60.330170
332.418823	-60.396721
333.764648	-60.459888
335.110474	-60.472378
336.456299	-60.454220
337.802124	-60.394032
339.147949	-60.339611
340.493774	-60.273323
341.839600	-60.182850
343.185425	-60.078190
344.531250	-59.909340
345.877075	-59.719215
347.222900	-59.502750
348.568726	-59.242905
349.914551	-58.965160
351.260376	-58.704033
352.606201	-58.314991
353.952026	-57.924675
355.297852	-57.521526
356.643677	-57.028931
357.989502	-56.569595
359.335327	-56.039730
360.681152	-55.451019
362.026978	-54.824776
363.372803	-54.202526
364.718628	-53.544502
366.064453	-52.837807
367.410278	-52.112671
368.756104	-51.335529
370.101929	-50.567081
371.447754	-49.776699
372.793579	-48.985149
374.139404	-48.266495
375.485229	-47.632370
376.831055	-47.122692
378.176880	-46.769772
379.522705	-46.603455
380.868530	-46.625725
382.214355	-46.823193
383.560181	-47.162941
384.906006	-47.599998
386.251831	-48.084900
387.597656	-48.599415
388.943481	-49.123432
390.289307	-49.619129
391.635132	-50.075607
392.980957	-50.501842
394.326782	-50.905426
395.672607	-51.287617
397.018433	-51.628471
398.364258	-51.928627
399.710083	-52.193108
401.055908	-52.428780
402.401733	-52.647144
403.747559	-52.854816
405.093384	-53.063362
406.439209	-53.273926
407.785034	-53.461906
409.130859	-53.639103
410.476685	-53.833965
411.822510	-54.035259
413.168335	-54.254890
414.514160	-54.494999
415.859985	-54.740517
417.205811	-54.989204
