Frequency (Hz)	Level (dB)
1.345825	-99.454796
2.691650	-99.126793
4.037476	-97.245399
5.383301	-96.060341
6.729126	-94.564522
8.074951	-94.277359
9.420776	-92.519691
10.766602	-90.736946
12.112427	-89.875534
13.458252	-89.197350
14.804077	-88.623878
16.149902	-88.235100
17.495728	-87.081322
18.841553	-86.622665
20.187378	-87.848732
21.533203	-86.638153
22.879028	-84.900513
24.224854	-84.616592
25.570679	-83.963982
26.916504	-84.080055
28.262329	-84.056061
29.608154	-83.575943
30.953979	-83.508537
32.299805	-82.886345
33.645630	-82.054146
34.991455	-81.704941
36.337280	-81.578629
37.683105	-81.235046
39.028931	-81.963310
40.374756	-81.443779
41.720581	-80.197227
43.066406	-80.108261
44.412231	-80.443138
45.758057	-80.116127
47.103882	-80.344246
48.449707	-79.449524
49.795532	-78.930176
51.141357	-79.269524
52.487183	-80.026505
53.833008	-79.273941
55.178833	-78.835403
56.524658	-78.596947
57.870483	-76.757591
59.216309	-74.163719
60.562134	-74.824409
61.907959	-75.864670
63.253784	-76.376892
64.599609	-77.331688
65.945435	-76.993820
67.291260	-76.521637
68.637085	-76.047783
69.982910	-74.740349
71.328735	-75.093079
72.674561	-73.342926
74.020386	-72.074997
75.366211	-71.665665
76.712036	-69.155899
78.057861	-66.963165
79.403687	-68.225952
80.749512	-63.876801
82.095337	-59.099014
83.441162	-61.823967
84.786987	-62.496342
86.132812	-62.715549
87.478638	-63.791039
88.824463	-61.924385
90.170288	-62.530605
91.516113	-59.736279
92.861938	-56.749935
94.207764	-59.055767
95.553589	-69.032608
96.899414	-69.963097
98.245239	-66.114876
99.591064	-67.053673
100.936890	-69.164253
102.282715	-68.394058
103.628540	-67.955109
104.974365	-68.121368
106.320190	-66.573891
107.666016	-65.500259
109.011841	-65.643013
110.357666	-66.194191
111.703491	-65.755531
113.049316	-64.260803
114.395142	-62.666058
115.740967	-62.155624
117.086792	-49.032570
118.432617	-40.823853
119.778442	-43.799534
121.124268	-53.413841
122.470093	-54.282352
123.815918	-54.471428
125.161743	-57.402771
126.507568	-57.558483
127.853394	-57.017662
129.199219	-56.334106
130.545044	-57.420162
131.890869	-58.444283
133.236694	-58.764103
134.582520	-60.081921
135.928345	-60.320580
137.274170	-61.571468
138.619995	-62.547680
139.965820	-62.414124
141.311646	-62.933754
142.657471	-63.919182
144.003296	-64.949532
145.349121	-65.448685
146.694946	-65.950493
148.040771	-66.367340
149.386597	-67.188622
150.732422	-66.254112
152.078247	-66.171402
153.424072	-67.669037
154.769897	-68.877419
156.115723	-69.079094
157.461548	-68.637268
158.807373	-69.070023
160.153198	-68.865089
161.499023	-68.832764
