Frequency (Hz)	Level (dB)
1.345825	-71.744759
2.691650	-79.814255
4.037476	-78.343468
5.383301	-76.511490
6.729126	-74.844048
8.074951	-73.469429
9.420776	-71.784981
10.766602	-70.396767
12.112427	-68.956909
13.458252	-67.484261
14.804077	-66.049767
16.149902	-64.654510
17.495728	-63.314892
18.841553	-62.075649
20.187378	-60.882690
21.533203	-59.743496
22.879028	-58.671291
24.224854	-57.677063
25.570679	-56.745403
26.916504	-55.856251
28.262329	-55.014744
29.608154	-54.219009
30.953979	-53.469028
32.299805	-52.752090
33.645630	-52.060917
34.991455	-51.397095
36.337280	-50.765896
37.683105	-50.166096
39.028931	-49.589966
40.374756	-49.034855
41.720581	-48.499828
43.066406	-47.986122
44.412231	-47.495728
45.758057	-47.022266
47.103882	-46.566116
48.449707	-46.126102
49.795532	-45.700611
51.141357	-45.290268
52.487183	-44.894310
53.833008	-44.512573
55.178833	-44.145561
56.524658	-43.788372
57.870483	-43.443256
59.216309	-43.110214
60.562134	-42.788872
61.907959	-42.477806
63.253784	-42.176231
64.599609	-41.885311
65.945435	-41.603249
67.291260	-41.331963
68.637085	-41.069324
69.982910	-40.813961
71.328735	-40.568310
72.674561	-40.331059
74.020386	-40.102757
75.366211	-39.881695
76.712036	-39.667267
78.057861	-39.461540
79.403687	-39.262051
80.749512	-39.068878
82.095337	-38.884830
83.441162	-38.698788
84.786987	-38.529438
86.132812	-38.368687
87.478638	-38.213585
88.824463	-38.061565
90.170288	-37.916855
91.516113	-37.773243
92.861938	-37.630955
94.207764	-37.509834
95.553589	-37.394798
96.899414	-37.278378
98.245239	-37.167793
99.591064	-37.063320
100.936890	-36.964397
102.282715	-36.870491
103.628540	-36.782608
104.974365	-36.699200
106.320190	-36.621819
107.666016	-36.550568
109.011841	-36.482594
110.357666	-36.419762
111.703491	-36.362099
113.049316	-36.310955
114.395142	-36.263065
115.740967	-36.217693
117.086792	-36.169449
118.432617	-36.059830
119.778442	-36.057678
121.124268	-36.082355
122.470093	-36.076855
123.815918	-36.069775
125.161743	-36.050930
126.507568	-36.051651
127.853394	-36.055073
129.199219	-36.065624
130.545044	-36.079620
131.890869	-36.102570
133.236694	-36.125664
134.582520	-36.156826
135.928345	-36.190144
137.274170	-36.229061
138.619995	-36.275402
139.965820	-36.322506
141.311646	-36.370926
142.657471	-36.428856
144.003296	-36.489891
145.349121	-36.556511
146.694946	-36.625347
148.040771	-36.697586
149.386597	-36.775089
150.732422	-36.854790
152.078247	-36.937832
153.424072	-37.026333
154.769897	-37.119133
156.115723	-37.213326
