Frequency (Hz)	Level (dB)
1.345825	-41.197258
2.691650	-41.547825
4.037476	-40.417301
5.383301	-41.454815
6.729126	-41.571682
8.074951	-41.202904
9.420776	-41.370651
10.766602	-41.772709
12.112427	-41.558788
13.458252	-41.505108
14.804077	-40.804340
16.149902	-41.429722
17.495728	-40.732594
18.841553	-40.853058
20.187378	-40.532745
21.533203	-41.187115
22.879028	-40.982681
24.224854	-40.475029
25.570679	-40.950760
26.916504	-40.886673
28.262329	-40.980572
29.608154	-40.983776
30.953979	-41.639023
32.299805	-41.729588
33.645630	-41.518570
34.991455	-41.968533
36.337280	-41.898731
37.683105	-41.426979
39.028931	-41.233414
40.374756	-41.140160
41.720581	-40.905636
43.066406	-41.015495
44.412231	-41.447796
45.758057	-41.044857
47.103882	-41.166569
48.449707	-41.090740
49.795532	-41.807232
51.141357	-42.020042
52.487183	-41.225430
53.833008	-41.162056
55.178833	-41.718399
56.524658	-41.141281
57.870483	-41.662666
59.216309	-40.898598
60.562134	-41.381313
61.907959	-41.798252
63.253784	-40.719791
64.599609	-40.429386
65.945435	-40.916355
67.291260	-41.818348
68.637085	-41.732788
69.982910	-41.450912
71.328735	-41.449135
72.674561	-40.881393
74.020386	-41.289345
75.366211	-41.664639
76.712036	-40.950596
78.057861	-41.522190
79.403687	-41.836758
80.749512	-41.148842
82.095337	-40.868797
83.441162	-40.310593
84.786987	-40.667557
86.132812	-41.124554
87.478638	-41.558891
88.824463	-41.822651
90.170288	-41.027840
91.516113	-40.633446
92.861938	-41.424896
94.207764	-41.770626
95.553589	-41.352001
96.899414	-41.104633
98.245239	-40.800732
99.591064	-40.617722
100.936890	-40.596790
102.282715	-41.052582
103.628540	-40.771656
104.974365	-40.636551
106.320190	-40.731289
107.666016	-40.753902
109.011841	-40.611931
110.357666	-39.933426
111.703491	-40.044930
113.049316	-41.227470
114.395142	-41.544926
115.740967	-41.032612
117.086792	-41.231075
118.432617	-41.087616
119.778442	-40.998653
121.124268	-40.810196
122.470093	-41.549911
123.815918	-41.953072
125.161743	-41.386086
126.507568	-40.851654
127.853394	-41.092445
129.199219	-41.177639
130.545044	-40.817532
131.890869	-41.213367
133.236694	-39.986073
134.582520	-40.042923
